,origin_own
862,פרטית
863,ליסינג
864,פרטית
865,פרטית
866,פרטית
867,ליסינג
868,ליסינג
869,פרטית
870,פרטית
871,פרטית
872,פרטית
873,פרטית
874,פרטית
875,ליסינג
876,פרטית
877,פרטית
878,פרטית
879,פרטית
880,פרטית
881,ליסינג
882,פרטית
883,פרטית
884,פרטית
885,ליסינג
886,פרטית
887,פרטית
888,פרטית
889,פרטית
890,פרטית
891,פרטית
892,פרטית
893,השכרה
894,ליסינג
895,ליסינג
896,פרטית
897,ליסינג
898,ליסינג
899,פרטית
900,פרטית
901,פרטית
902,פרטית
903,פרטית
904,פרטית
905,אחר
906,פרטית
907,פרטית
908,פרטית
909,פרטית
910,פרטית
911,פרטית
912,פרטית
913,פרטית
914,ליסינג
915,פרטית
916,פרטית
917,ליסינג
918,פרטית
919,ליסינג
920,פרטית
921,פרטית
922,פרטית
923,פרטית
924,פרטית
925,ליסינג
926,פרטית
927,פרטית
928,ליסינג
929,פרטית
930,פרטית
931,השכרה
932,פרטית
933,פרטית
934,פרטית
935,ליסינג
936,פרטית
937,פרטית
938,פרטית
939,פרטית
940,פרטית
941,פרטית
942,פרטית
943,פרטית
944,פרטית
945,ליסינג
946,פרטית
947,פרטית
948,ליסינג
949,ליסינג
950,פרטית
951,אחר
952,ליסינג
953,ליסינג
954,ליסינג
955,פרטית
956,פרטית
957,פרטית
958,פרטית
959,פרטית
960,פרטית
961,ליסינג
962,פרטית
963,פרטית
964,פרטית
965,פרטית
966,פרטית
967,פרטית
968,פרטית
969,ליסינג
970,ליסינג
971,ליסינג
972,פרטית
973,פרטית
974,השכרה
975,פרטית
976,פרטית
977,ליסינג
978,ליסינג
979,פרטית
980,ליסינג
981,פרטית
982,ליסינג
983,פרטית
984,פרטית
985,פרטית
986,ליסינג
987,פרטית
988,פרטית
989,אחר
990,אחר
991,ליסינג
992,פרטית
993,ליסינג
994,פרטית
995,ליסינג
996,פרטית
997,פרטית
998,ליסינג
999,פרטית
1000,פרטית
1001,פרטית
1002,פרטית
1003,פרטית
1004,פרטית
1005,פרטית
1006,פרטית
1007,פרטית
1008,פרטית
1009,פרטית
1010,ליסינג
1011,ליסינג
1012,פרטית
1013,השכרה
1014,ליסינג
1015,אחר
1016,אחר
1017,פרטית
1018,פרטית
1019,ליסינג
1020,פרטית
1021,פרטית
1022,ליסינג
1023,פרטית
1024,פרטית
1025,פרטית
1026,ליסינג
1027,ליסינג
1028,ליסינג
1029,פרטית
1030,ליסינג
1031,ליסינג
1032,פרטית
1033,אחר
1034,ליסינג
1035,אחר
1036,פרטית
1037,פרטית
1038,פרטית
1039,פרטית
1040,פרטית
1041,פרטית
1042,פרטית
1043,פרטית
1044,ליסינג
1045,פרטית
1046,ליסינג
1047,ליסינג
1048,פרטית
1049,ליסינג
1050,פרטית
1051,אחר
1052,פרטית
1053,פרטית
1054,ליסינג
1055,ליסינג
1056,פרטית
1057,פרטית
1058,פרטית
1059,ליסינג
1060,ליסינג
1061,פרטית
1062,פרטית
1063,פרטית
1064,השכרה
1065,פרטית
1066,פרטית
1067,פרטית
1068,פרטית
1069,פרטית
1070,פרטית
1071,ליסינג
1072,פרטית
1073,פרטית
1074,פרטית
1075,פרטית
1076,פרטית
1077,פרטית
1078,פרטית
1079,ליסינג
1080,ליסינג
1081,פרטית
1082,השכרה
1083,פרטית
1084,פרטית
1085,ליסינג
1086,ליסינג
1087,ליסינג
1088,פרטית
1089,פרטית
1090,פרטית
1091,פרטית
1092,פרטית
1093,פרטית
1094,ליסינג
1095,ליסינג
1096,פרטית
1097,פרטית
1098,פרטית
1099,ליסינג
1100,אחר
1101,פרטית
1102,פרטית
1103,פרטית
1104,פרטית
1105,פרטית
1106,אחר
1107,פרטית
1108,פרטית
1109,פרטית
1110,ליסינג
1111,פרטית
1112,פרטית
1113,פרטית
1114,ליסינג
1115,פרטית
1116,ליסינג
1117,פרטית
1118,ליסינג
1119,פרטית
1120,פרטית
1121,ליסינג
1122,ליסינג
1123,פרטית
1124,פרטית
1125,פרטית
1126,פרטית
1127,ליסינג
1128,ליסינג
1129,ליסינג
1130,פרטית
1131,פרטית
1132,ליסינג
1133,פרטית
1134,פרטית
1135,פרטית
1136,פרטית
1137,פרטית
1138,ליסינג
1139,פרטית
1140,פרטית
1141,ליסינג
1142,פרטית
1143,ליסינג
1144,פרטית
1145,פרטית
1146,פרטית
1147,פרטית
1148,פרטית
1149,פרטית
1150,פרטית
1151,פרטית
1152,פרטית
1153,פרטית
1154,פרטית
1155,פרטית
1156,ליסינג
1157,פרטית
1158,פרטית
1159,פרטית
1160,אחר
1161,פרטית
1162,פרטית
1163,פרטית
1164,פרטית
1165,פרטית
1166,ליסינג
1167,ליסינג
1168,ליסינג
1169,ליסינג
1170,ליסינג
1171,ליסינג
1172,השכרה
1173,פרטית
1174,אחר
1175,פרטית
1176,ליסינג
1177,ליסינג
1178,פרטית
1179,השכרה
1180,ליסינג
1181,פרטית
1182,פרטית
1183,פרטית
1184,פרטית
1185,פרטית
1186,השכרה
1187,פרטית
1188,פרטית
1189,פרטית
1190,פרטית
1191,ליסינג
1192,פרטית
1193,פרטית
1194,פרטית
1195,פרטית
1196,ליסינג
1197,פרטית
1198,פרטית
1199,ליסינג
1200,פרטית
1201,פרטית
1202,ליסינג
1203,ליסינג
1204,פרטית
1205,ליסינג
1206,פרטית
1207,פרטית
1208,ליסינג
1209,פרטית
1210,ליסינג
1211,ליסינג
1212,פרטית
1213,פרטית
1214,ליסינג
1215,פרטית
1216,פרטית
1217,פרטית
1218,ליסינג
1219,ליסינג
1220,ליסינג
1221,פרטית
1222,ליסינג
1223,ליסינג
1224,פרטית
1225,פרטית
1226,אחר
1227,פרטית
1228,פרטית
1229,אחר
1230,ליסינג
1231,פרטית
1232,פרטית
1233,ליסינג
1234,פרטית
1235,פרטית
1236,השכרה
1237,פרטית
1238,ליסינג
1239,פרטית
1240,פרטית
1241,ליסינג
1242,פרטית
1243,השכרה
1244,ליסינג
1245,פרטית
1246,פרטית
1247,פרטית
1248,פרטית
1249,פרטית
1250,ליסינג
1251,פרטית
1252,ליסינג
1253,פרטית
1254,אחר
1255,אחר
1256,פרטית
1257,פרטית
1258,ליסינג
1259,ליסינג
1260,פרטית
1261,ליסינג
1262,פרטית
1263,פרטית
1264,ליסינג
1265,פרטית
1266,פרטית
1267,פרטית
1268,ליסינג
1269,ליסינג
1270,ליסינג
1271,פרטית
1272,פרטית
1273,ליסינג
1274,ליסינג
1275,פרטית
1276,פרטית
1277,פרטית
1278,ליסינג
1279,פרטית
1280,פרטית
1281,פרטית
1282,ליסינג
1283,פרטית
1284,ליסינג
1285,פרטית
1286,ליסינג
1287,פרטית
1288,פרטית
1289,ליסינג
1290,פרטית
1291,ליסינג
1292,פרטית
1293,ליסינג
1294,ליסינג
1295,אחר
1296,פרטית
1297,ליסינג
1298,פרטית
1299,פרטית
1300,פרטית
1301,פרטית
1302,פרטית
1303,פרטית
1304,פרטית
1305,פרטית
1306,ליסינג
1307,פרטית
1308,פרטית
1309,פרטית
1310,ליסינג
1311,ליסינג
1312,ליסינג
1313,פרטית
1314,פרטית
1315,פרטית
1316,פרטית
1317,ליסינג
1318,ליסינג
1319,פרטית
1320,ליסינג
1321,פרטית
1322,פרטית
1323,פרטית
1324,ליסינג
1325,פרטית
1326,אחר
1327,פרטית
1328,פרטית
1329,פרטית
1330,ליסינג
1331,פרטית
1332,ליסינג
1333,פרטית
1334,ליסינג
1335,פרטית
1336,ליסינג
1337,פרטית
1338,ליסינג
1339,פרטית
1340,ליסינג
1341,ליסינג
1342,פרטית
1343,פרטית
1344,פרטית
1345,פרטית
1346,אחר
1347,ליסינג
1348,פרטית
1349,ליסינג
1350,פרטית
1351,ליסינג
1352,פרטית
1353,פרטית
1354,ליסינג
1355,פרטית
1356,פרטית
1357,פרטית
1358,פרטית
1359,פרטית
1360,פרטית
1361,פרטית
1362,פרטית
1363,פרטית
1364,פרטית
1365,פרטית
1366,אחר
1367,פרטית
1368,אחר
1369,פרטית
1370,פרטית
1371,פרטית
1372,ליסינג
1373,ליסינג
1374,פרטית
1375,ליסינג
1376,ליסינג
1377,פרטית
1378,ליסינג
1379,פרטית
1380,פרטית
1381,אחר
1382,פרטית
1383,פרטית
1384,פרטית
1385,פרטית
1386,פרטית
1387,פרטית
1388,פרטית
1389,פרטית
1390,אחר
1391,פרטית
1392,ליסינג
1393,ליסינג
1394,פרטית
1395,ליסינג
1396,פרטית
1397,פרטית
1398,פרטית
1399,פרטית
1400,פרטית
1401,פרטית
1402,פרטית
1403,פרטית
1404,פרטית
1405,פרטית
1406,פרטית
1407,ליסינג
1408,פרטית
1409,פרטית
1410,השכרה
1411,פרטית
1412,פרטית
1413,פרטית
1414,פרטית
1415,ליסינג
1416,פרטית
1417,אחר
1418,פרטית
1419,פרטית
1420,פרטית
1421,השכרה
1422,פרטית
1423,אחר
1424,פרטית
1425,פרטית
1426,פרטית
1427,ליסינג
1428,פרטית
1429,ליסינג
1430,פרטית
1431,פרטית
1432,פרטית
1433,פרטית
1434,פרטית
1435,פרטית
1436,פרטית
1437,אחר
1438,פרטית
1439,ליסינג
1440,ליסינג
1441,פרטית
1442,פרטית
1443,פרטית
1444,ליסינג
1445,פרטית
1446,ליסינג
1447,ליסינג
1448,פרטית
1449,פרטית
1450,פרטית
1451,פרטית
1452,פרטית
1453,פרטית
1454,ליסינג
1455,ליסינג
1456,פרטית
1457,ליסינג
1458,פרטית
1459,פרטית
1460,פרטית
1461,ליסינג
1462,פרטית
1463,ליסינג
1464,ליסינג
1465,פרטית
1466,פרטית
1467,פרטית
1468,ליסינג
1469,פרטית
1470,פרטית
1471,פרטית
1472,פרטית
1473,פרטית
1474,פרטית
1475,ליסינג
1476,פרטית
1477,פרטית
1478,פרטית
1479,ליסינג
1480,פרטית
1481,פרטית
1482,פרטית
1483,פרטית
1484,פרטית
1485,פרטית
1486,פרטית
1487,פרטית
1488,פרטית
1489,פרטית
1490,פרטית
1491,פרטית
1492,ליסינג
1493,ליסינג
1494,פרטית
1495,פרטית
1496,פרטית
1497,פרטית
1498,ליסינג
1499,פרטית
1500,פרטית
1501,פרטית
1502,פרטית
1503,פרטית
1504,ליסינג
1505,פרטית
1506,פרטית
1507,פרטית
1508,פרטית
1509,אחר
1510,ליסינג
1511,פרטית
1512,פרטית
1513,אחר
1514,ליסינג
1515,פרטית
1516,פרטית
1517,פרטית
1518,פרטית
1519,ליסינג
1520,ליסינג
1521,פרטית
1522,ליסינג
1523,ליסינג
1524,ליסינג
1525,פרטית
1526,ליסינג
1527,פרטית
1528,אחר
1529,פרטית
1530,ליסינג
1531,ליסינג
1532,פרטית
1533,פרטית
1534,פרטית
1535,פרטית
1536,ליסינג
1537,ליסינג
1538,ליסינג
1539,פרטית
1540,ליסינג
1541,ליסינג
1542,פרטית
1543,פרטית
1544,פרטית
1545,ליסינג
1546,ליסינג
1547,אחר
1548,פרטית
1549,פרטית
1550,פרטית
1551,פרטית
1552,פרטית
1553,פרטית
1554,ליסינג
1555,פרטית
1556,פרטית
1557,ליסינג
1558,פרטית
1559,פרטית
1560,השכרה
1561,ליסינג
1562,פרטית
1563,פרטית
1564,פרטית
1565,פרטית
1566,פרטית
1567,ליסינג
1568,פרטית
1569,פרטית
1570,פרטית
1571,ליסינג
1572,פרטית
1573,פרטית
1574,פרטית
1575,ליסינג
1576,פרטית
1577,פרטית
1578,פרטית
1579,ליסינג
1580,ליסינג
1581,ליסינג
1582,ליסינג
1583,פרטית
1584,פרטית
1585,פרטית
1586,פרטית
1587,פרטית
1588,פרטית
1589,ליסינג
1590,ליסינג
1591,פרטית
1592,פרטית
1593,פרטית
1594,ליסינג
1595,אחר
1596,אחר
1597,פרטית
1598,פרטית
1599,פרטית
1600,ליסינג
1601,פרטית
1602,ליסינג
1603,פרטית
1604,פרטית
1605,פרטית
1606,פרטית
1607,פרטית
1608,ליסינג
1609,פרטית
1610,פרטית
1611,פרטית
1612,ליסינג
1613,ליסינג
1614,פרטית
1615,ליסינג
1616,פרטית
1617,פרטית
1618,פרטית
1619,פרטית
1620,פרטית
1621,השכרה
1622,פרטית
1623,פרטית
1624,פרטית
1625,ליסינג
1626,פרטית
1627,ליסינג
1628,ליסינג
1629,פרטית
1630,אחר
1631,פרטית
1632,פרטית
1633,פרטית
1634,ליסינג
1635,פרטית
1636,פרטית
1637,ליסינג
1638,ליסינג
1639,ליסינג
1640,אחר
1641,פרטית
1642,פרטית
1643,פרטית
1644,ליסינג
1645,ליסינג
1646,ליסינג
1647,פרטית
1648,ליסינג
1649,אחר
1650,ליסינג
1651,פרטית
1652,פרטית
1653,אחר
1654,פרטית
1655,פרטית
1656,פרטית
1657,פרטית
1658,פרטית
1659,פרטית
1660,ליסינג
1661,פרטית
1662,פרטית
1663,פרטית
1664,פרטית
1665,פרטית
1666,פרטית
1667,ליסינג
1668,פרטית
1669,פרטית
1670,השכרה
1671,פרטית
1672,פרטית
1673,פרטית
1674,פרטית
1675,פרטית
1676,פרטית
1677,פרטית
1678,פרטית
1679,ליסינג
1680,פרטית
1681,פרטית
1682,פרטית
1683,פרטית
1684,פרטית
1685,פרטית
1686,פרטית
1687,פרטית
1688,פרטית
1689,פרטית
1690,ליסינג
1691,פרטית
1692,ליסינג
1693,פרטית
1694,פרטית
1695,פרטית
1696,פרטית
1697,פרטית
1698,ליסינג
1699,פרטית
1700,ליסינג
1701,פרטית
1702,פרטית
1703,פרטית
1704,השכרה
1705,פרטית
1706,פרטית
1707,פרטית
1708,פרטית
1709,פרטית
1710,ליסינג
1711,ליסינג
1712,פרטית
1713,פרטית
1714,פרטית
1715,פרטית
1716,פרטית
1717,ליסינג
1718,פרטית
1719,ליסינג
1720,פרטית
1721,ליסינג
1722,ליסינג
1723,ליסינג
1724,פרטית
1725,פרטית
1726,ליסינג
1727,פרטית
1728,פרטית
1729,ליסינג
1730,ליסינג
1731,פרטית
1732,פרטית
1733,פרטית
1734,פרטית
1735,פרטית
1736,פרטית
1737,פרטית
1738,ליסינג
1739,ליסינג
1740,פרטית
1741,פרטית
1742,פרטית
1743,ליסינג
1744,פרטית
1745,פרטית
1746,ליסינג
1747,פרטית
1748,פרטית
1749,פרטית
1750,פרטית
1751,פרטית
1752,ליסינג
1753,פרטית
1754,פרטית
1755,פרטית
1756,פרטית
1757,פרטית
1758,פרטית
1759,פרטית
1760,ליסינג
1761,השכרה
1762,פרטית
1763,פרטית
1764,פרטית
1765,ליסינג
1766,פרטית
1767,ליסינג
1768,פרטית
1769,פרטית
1770,פרטית
1771,פרטית
1772,ליסינג
1773,ליסינג
1774,פרטית
1775,פרטית
1776,פרטית
1777,פרטית
1778,פרטית
1779,אחר
1780,ליסינג
1781,ליסינג
1782,פרטית
1783,ליסינג
1784,פרטית
1785,ליסינג
1786,פרטית
1787,פרטית
1788,פרטית
1789,ליסינג
1790,אחר
1791,ליסינג
1792,פרטית
1793,פרטית
1794,ליסינג
1795,פרטית
1796,פרטית
1797,אחר
1798,פרטית
1799,פרטית
1800,פרטית
1801,פרטית
1802,אחר
1803,פרטית
1804,פרטית
1805,פרטית
1806,ליסינג
1807,פרטית
1808,פרטית
1809,פרטית
1810,פרטית
1811,פרטית
1812,פרטית
1813,פרטית
1814,ליסינג
1815,פרטית
1816,פרטית
1817,אחר
1818,פרטית
1819,פרטית
1820,פרטית
