,gear_type
494,אוטומטי
495,אוטומטי
496,אוטומטי
497,אוטומטי
498,אוטומטי
499,אוטומטי
500,אוטומטי
501,אוטומטי
502,אוטומטי
503,אוטומטי
504,אוטומטי
505,אוטומטי
506,אוטומטי
507,אוטומטי
508,אוטומטי
509,אוטומטי
510,אוטומטי
511,אוטומטי
512,אוטומטי
513,אוטומטי
514,אוטומטי
515,אוטומטי
516,אוטומטי
517,אוטומטי
518,אוטומטי
519,אוטומטי
520,אוטומטי
521,אוטומטי
522,אוטומטי
523,אוטומטי
524,אוטומטי
525,אוטומטי
526,אוטומטי
527,אוטומטי
528,אוטומטי
529,אוטומטי
530,אוטומטי
531,אוטומטי
532,אוטומטי
533,אוטומטי
534,אוטומטי
535,אוטומטי
536,אוטומטי
537,אוטומטי
538,אוטומטי
539,אוטומטי
540,אוטומטי
541,אוטומטי
542,אוטומטי
543,אוטומטי
544,אוטומטי
545,אוטומטי
546,אוטומטי
547,אוטומטי
548,אוטומטי
549,אוטומטי
550,אוטומטי
551,אוטומטי
552,אוטומטי
553,אוטומטי
554,אוטומטי
555,אוטומטי
556,אוטומטי
557,אוטומטי
558,אוטומטי
559,אוטומטי
560,אוטומטי
561,אוטומטי
562,אוטומטי
563,ידני
564,אוטומטי
565,אוטומטי
566,אוטומטי
567,אוטומטי
568,אוטומטי
569,אוטומטי
570,אוטומטי
571,אוטומטי
572,אוטומטי
573,אוטומטי
574,אוטומטי
575,אוטומטי
576,אוטומטי
577,אוטומטי
578,אוטומטי
579,אוטומטי
580,אוטומטי
581,אוטומטי
582,אוטומטי
583,אוטומטי
584,אוטומטי
585,אוטומטי
586,אוטומטי
587,אוטומטי
588,אוטומטי
589,אוטומטי
590,אוטומטי
591,אוטומטי
592,אוטומטי
593,אוטומטי
594,אוטומטי
595,אוטומטי
596,אוטומטי
597,אוטומטי
598,אוטומטי
599,אוטומטי
600,אוטומטי
601,ידני
602,אוטומטי
603,אוטומטי
604,אוטומטי
605,אוטומטי
606,אוטומטי
607,אוטומטי
608,אוטומטי
609,אוטומטי
610,אוטומטי
611,אוטומטי
612,אוטומטי
613,אוטומטי
614,אוטומטי
615,אוטומטי
616,אוטומטי
617,אוטומטי
618,אוטומטי
619,אוטומטי
620,אוטומטי
621,אוטומטי
622,אוטומטי
623,אוטומטי
624,אוטומטי
625,אוטומטי
626,אוטומטי
627,אוטומטי
628,אוטומטי
629,אוטומטי
630,אוטומטי
631,אוטומטי
632,אוטומטי
633,אוטומטי
634,אוטומטי
635,אוטומטי
636,אוטומטי
637,אוטומטי
638,אוטומטי
639,אוטומטי
640,אוטומטי
641,אוטומטי
642,אוטומטי
643,אוטומטי
644,אוטומטי
645,אוטומטי
646,אוטומטי
647,אוטומטי
648,אוטומטי
649,אוטומטי
650,אוטומטי
651,אוטומטי
652,אוטומטי
653,אוטומטי
654,ידני
655,אוטומטי
656,אוטומטי
657,אוטומטי
658,אוטומטי
659,אוטומטי
660,אוטומטי
661,אוטומטי
662,אוטומטי
663,אוטומטי
664,אוטומטי
665,אוטומטי
666,אוטומטי
667,אוטומטי
668,אוטומטי
669,אוטומטי
670,אוטומטי
671,אוטומטי
672,אוטומטי
673,אוטומטי
674,אוטומטי
675,אוטומטי
676,אוטומטי
677,אוטומטי
678,אוטומטי
679,אוטומטי
680,אוטומטי
681,אוטומטי
682,אוטומטי
683,אוטומטי
684,אוטומטי
685,אוטומטי
686,אוטומטי
687,אוטומטי
688,אוטומטי
689,אוטומטי
690,אוטומטי
691,אוטומטי
692,אוטומטי
693,אוטומטי
694,אוטומטי
695,אוטומטי
696,אוטומטי
697,אוטומטי
698,אוטומטי
699,אוטומטי
700,אוטומטי
701,אוטומטי
702,אוטומטי
703,אוטומטי
704,אוטומטי
705,אוטומטי
706,אוטומטי
707,אוטומטי
708,אוטומטי
709,אוטומטי
710,אוטומטי
711,אוטומטי
712,אוטומטי
713,אוטומטי
714,אוטומטי
715,אוטומטי
716,אוטומטי
717,אוטומטי
718,אוטומטי
719,אוטומטי
720,אוטומטי
721,אוטומטי
722,אוטומטי
723,אוטומטי
724,ידני
725,אוטומטי
726,אוטומטי
727,אוטומטי
728,אוטומטי
729,אוטומטי
730,אוטומטי
731,אוטומטי
732,אוטומטי
733,אוטומטי
734,אוטומטי
735,אוטומטי
736,אוטומטי
737,אוטומטי
738,אוטומטי
739,אוטומטי
740,אוטומטי
741,אוטומטי
742,אוטומטי
743,אוטומטי
744,אוטומטי
745,אוטומטי
746,אוטומטי
747,אוטומטי
748,אוטומטי
749,אוטומטי
750,אוטומטי
751,אוטומטי
752,אוטומטי
753,אוטומטי
754,אוטומטי
755,אוטומטי
756,אוטומטי
757,אוטומטי
758,אוטומטי
759,אוטומטי
760,אוטומטי
761,אוטומטי
762,אוטומטי
763,אוטומטי
764,אוטומטי
765,אוטומטי
766,אוטומטי
767,אוטומטי
768,אוטומטי
769,אוטומטי
770,אוטומטי
771,אוטומטי
772,אוטומטי
773,אוטומטי
774,אוטומטי
775,אוטומטי
776,אוטומטי
777,אוטומטי
778,אוטומטי
779,אוטומטי
780,ידני
781,אוטומטי
782,אוטומטי
783,ידני
784,אוטומטי
785,אוטומטי
786,אוטומטי
787,אוטומטי
788,אוטומטי
789,אוטומטי
790,אוטומטי
791,אוטומטי
792,ידני
793,אוטומטי
794,אוטומטי
795,אוטומטי
796,אוטומטי
797,אוטומטי
798,אוטומטי
799,אוטומטי
800,אוטומטי
801,אוטומטי
802,אוטומטי
803,אוטומטי
804,אוטומטי
805,אוטומטי
806,אוטומטי
807,אוטומטי
808,אוטומטי
809,אוטומטי
810,אוטומטי
811,אוטומטי
812,אוטומטי
813,אוטומטי
814,אוטומטי
815,אוטומטי
816,אוטומטי
817,אוטומטי
818,אוטומטי
819,ידני
820,אוטומטי
821,אוטומטי
822,אוטומטי
823,אוטומטי
824,אוטומטי
825,אוטומטי
826,אוטומטי
827,אוטומטי
828,אוטומטי
829,אוטומטי
830,אוטומטי
831,אוטומטי
832,אוטומטי
833,ידני
834,אוטומטי
835,אוטומטי
836,אוטומטי
837,אוטומטי
838,אוטומטי
839,אוטומטי
840,אוטומטי
841,אוטומטי
842,אוטומטי
843,אוטומטי
844,אוטומטי
845,אוטומטי
846,אוטומטי
847,אוטומטי
848,אוטומטי
849,אוטומטי
850,אוטומטי
851,אוטומטי
852,ידני
853,אוטומטי
854,אוטומטי
855,אוטומטי
856,אוטומטי
857,אוטומטי
858,אוטומטי
859,אוטומטי
860,אוטומטי
861,אוטומטי
862,אוטומטי
863,אוטומטי
864,אוטומטי
865,אוטומטי
866,אוטומטי
867,אוטומטי
868,אוטומטי
869,אוטומטי
870,אוטומטי
871,אוטומטי
872,אוטומטי
873,אוטומטי
874,אוטומטי
875,אוטומטי
876,אוטומטי
877,אוטומטי
878,אוטומטי
879,אוטומטי
880,אוטומטי
881,אוטומטי
882,אוטומטי
883,אוטומטי
884,אוטומטי
885,אוטומטי
886,אוטומטי
887,אוטומטי
888,אוטומטי
889,אוטומטי
890,אוטומטי
891,אוטומטי
892,אוטומטי
893,אוטומטי
894,אוטומטי
895,אוטומטי
896,אוטומטי
897,אוטומטי
898,אוטומטי
899,אוטומטי
900,אוטומטי
901,אוטומטי
902,אוטומטי
903,אוטומטי
904,אוטומטי
905,אוטומטי
906,אוטומטי
907,אוטומטי
908,אוטומטי
909,אוטומטי
910,אוטומטי
911,אוטומטי
912,אוטומטי
913,ידני
914,אוטומטי
915,אוטומטי
916,אוטומטי
917,אוטומטי
918,אוטומטי
919,אוטומטי
920,אוטומטי
921,אוטומטי
922,אוטומטי
923,אוטומטי
924,אוטומטי
925,אוטומטי
926,אוטומטי
927,אוטומטי
928,אוטומטי
929,אוטומטי
930,אוטומטי
931,אוטומטי
932,אוטומטי
933,אוטומטי
934,אוטומטי
935,אוטומטי
936,אוטומטי
937,אוטומטי
938,אוטומטי
939,אוטומטי
940,אוטומטי
941,אוטומטי
942,ידני
943,אוטומטי
944,אוטומטי
945,אוטומטי
946,אוטומטי
947,אוטומטי
948,אוטומטי
949,אוטומטי
950,אוטומטי
951,אוטומטי
952,אוטומטי
953,אוטומטי
954,אוטומטי
955,אוטומטי
956,אוטומטי
957,אוטומטי
958,ידני
959,אוטומטי
960,אוטומטי
961,ידני
962,אוטומטי
963,אוטומטי
964,אוטומטי
965,אוטומטי
966,אוטומטי
967,אוטומטי
968,אוטומטי
969,אוטומטי
970,אוטומטי
971,אוטומטי
972,אוטומטי
973,אוטומטי
974,אוטומטי
975,ידני
976,אוטומטי
977,אוטומטי
978,אוטומטי
979,אוטומטי
980,אוטומטי
981,אוטומטי
982,אוטומטי
983,אוטומטי
984,אוטומטי
985,אוטומטי
986,אוטומטי
987,אוטומטי
988,אוטומטי
989,אוטומטי
990,ידני
991,אוטומטי
992,אוטומטי
993,אוטומטי
994,אוטומטי
995,אוטומטי
996,ידני
997,אוטומטי
998,אוטומטי
999,אוטומטי
1000,אוטומטי
1001,אוטומטי
1002,אוטומטי
1003,אוטומטי
1004,אוטומטי
1005,אוטומטי
1006,אוטומטי
1007,אוטומטי
1008,אוטומטי
1009,אוטומטי
1010,אוטומטי
1011,אוטומטי
1012,אוטומטי
1013,אוטומטי
1014,אוטומטי
1015,אוטומטי
1016,אוטומטי
1017,אוטומטי
1018,אוטומטי
1019,אוטומטי
1020,אוטומטי
1021,אוטומטי
1022,אוטומטי
1023,אוטומטי
1024,אוטומטי
1025,אוטומטי
1026,אוטומטי
1027,אוטומטי
1028,אוטומטי
1029,אוטומטי
1030,אוטומטי
1031,אוטומטי
1032,אוטומטי
1033,אוטומטי
1034,אוטומטי
1035,אוטומטי
1036,אוטומטי
1037,אוטומטי
1038,אוטומטי
1039,אוטומטי
1040,אוטומטי
1041,אוטומטי
1042,אוטומטי
1043,אוטומטי
1044,אוטומטי
1045,אוטומטי
1046,אוטומטי
1047,אוטומטי
1048,אוטומטי
1049,אוטומטי
1050,אוטומטי
1051,אוטומטי
1052,אוטומטי
1053,אוטומטי
1054,ידני
1055,אוטומטי
1056,ידני
1057,אוטומטי
1058,אוטומטי
1059,אוטומטי
1060,אוטומטי
1061,אוטומטי
1062,אוטומטי
1063,אוטומטי
1064,ידני
1065,אוטומטי
1066,אוטומטי
1067,אוטומטי
1068,אוטומטי
1069,אוטומטי
1070,אוטומטי
1071,אוטומטי
1072,אוטומטי
1073,אוטומטי
1074,אוטומטי
1075,אוטומטי
1076,אוטומטי
1077,אוטומטי
1078,אוטומטי
1079,אוטומטי
1080,אוטומטי
1081,אוטומטי
1082,אוטומטי
1083,אוטומטי
1084,אוטומטי
1085,אוטומטי
1086,אוטומטי
1087,אוטומטי
1088,אוטומטי
1089,אוטומטי
1090,אוטומטי
1091,אוטומטי
1092,אוטומטי
1093,אוטומטי
1094,אוטומטי
1095,ידני
1096,אוטומטי
1097,ידני
1098,אוטומטי
1099,אוטומטי
1100,אוטומטי
1101,אוטומטי
1102,אוטומטי
1103,אוטומטי
1104,אוטומטי
1105,אוטומטי
1106,אוטומטי
1107,אוטומטי
1108,אוטומטי
1109,אוטומטי
1110,אוטומטי
1111,אוטומטי
1112,אוטומטי
1113,אוטומטי
1114,ידני
1115,אוטומטי
1116,אוטומטי
1117,אוטומטי
1118,ידני
1119,אוטומטי
1120,אוטומטי
1121,אוטומטי
1122,אוטומטי
1123,אוטומטי
1124,ידני
1125,אוטומטי
1126,אוטומטי
1127,אוטומטי
1128,אוטומטי
1129,אוטומטי
1130,אוטומטי
1131,אוטומטי
1132,אוטומטי
1133,אוטומטי
1134,אוטומטי
1135,אוטומטי
1136,אוטומטי
1137,אוטומטי
1138,אוטומטי
1139,אוטומטי
1140,אוטומטי
1141,אוטומטי
1142,אוטומטי
1143,אוטומטי
1144,אוטומטי
1145,אוטומטי
1146,אוטומטי
1147,אוטומטי
1148,אוטומטי
1149,אוטומטי
1150,אוטומטי
1151,אוטומטי
1152,אוטומטי
1153,אוטומטי
1154,אוטומטי
1155,אוטומטי
1156,אוטומטי
1157,אוטומטי
1158,אוטומטי
1159,אוטומטי
1160,אוטומטי
1161,אוטומטי
1162,אוטומטי
1163,אוטומטי
1164,אוטומטי
1165,אוטומטי
1166,אוטומטי
1167,אוטומטי
1168,אוטומטי
1169,אוטומטי
1170,אוטומטי
1171,אוטומטי
1172,אוטומטי
1173,אוטומטי
1174,אוטומטי
1175,אוטומטי
1176,אוטומטי
1177,אוטומטי
1178,אוטומטי
1179,אוטומטי
1180,אוטומטי
1181,ידני
1182,ידני
1183,אוטומטי
1184,אוטומטי
1185,אוטומטי
1186,אוטומטי
1187,אוטומטי
1188,אוטומטי
1189,אוטומטי
1190,אוטומטי
1191,אוטומטי
1192,אוטומטי
1193,אוטומטי
1194,אוטומטי
1195,אוטומטי
1196,אוטומטי
1197,אוטומטי
1198,אוטומטי
1199,אוטומטי
1200,אוטומטי
1201,אוטומטי
1202,אוטומטי
1203,אוטומטי
1204,אוטומטי
1205,ידני
1206,אוטומטי
1207,אוטומטי
1208,אוטומטי
1209,אוטומטי
1210,אוטומטי
1211,אוטומטי
1212,אוטומטי
1213,אוטומטי
1214,אוטומטי
1215,אוטומטי
1216,אוטומטי
1217,אוטומטי
1218,אוטומטי
1219,אוטומטי
1220,אוטומטי
1221,ידני
1222,אוטומטי
1223,אוטומטי
1224,אוטומטי
1225,אוטומטי
1226,אוטומטי
1227,אוטומטי
1228,אוטומטי
1229,אוטומטי
1230,אוטומטי
1231,אוטומטי
1232,אוטומטי
1233,אוטומטי
1234,אוטומטי
1235,אוטומטי
1236,אוטומטי
1237,אוטומטי
1238,אוטומטי
1239,אוטומטי
1240,אוטומטי
1241,אוטומטי
1242,אוטומטי
1243,אוטומטי
1244,אוטומטי
1245,אוטומטי
1246,אוטומטי
1247,אוטומטי
1248,אוטומטי
1249,אוטומטי
1250,אוטומטי
1251,אוטומטי
1252,אוטומטי
1253,אוטומטי
1254,אוטומטי
1255,אוטומטי
1256,אוטומטי
1257,אוטומטי
1258,אוטומטי
1259,אוטומטי
1260,אוטומטי
1261,אוטומטי
1262,אוטומטי
1263,אוטומטי
1264,אוטומטי
1265,אוטומטי
1266,אוטומטי
1267,אוטומטי
1268,אוטומטי
1269,אוטומטי
1270,אוטומטי
1271,אוטומטי
1272,אוטומטי
1273,אוטומטי
1274,אוטומטי
1275,אוטומטי
1276,אוטומטי
1277,אוטומטי
1278,אוטומטי
1279,אוטומטי
1280,ידני
1281,אוטומטי
1282,אוטומטי
1283,אוטומטי
1284,אוטומטי
1285,אוטומטי
1286,אוטומטי
1287,אוטומטי
1288,ידני
1289,אוטומטי
1290,אוטומטי
1291,אוטומטי
1292,אוטומטי
1293,אוטומטי
1294,אוטומטי
1295,אוטומטי
1296,אוטומטי
1297,אוטומטי
1298,אוטומטי
1299,אוטומטי
1300,אוטומטי
1301,אוטומטי
1302,אוטומטי
1303,אוטומטי
1304,אוטומטי
1305,אוטומטי
1306,אוטומטי
1307,אוטומטי
1308,אוטומטי
1309,אוטומטי
1310,אוטומטי
1311,אוטומטי
1312,אוטומטי
1313,אוטומטי
1314,אוטומטי
1315,אוטומטי
1316,אוטומטי
1317,אוטומטי
1318,אוטומטי
1319,אוטומטי
1320,אוטומטי
1321,אוטומטי
1322,אוטומטי
1323,אוטומטי
1324,אוטומטי
1325,אוטומטי
1326,אוטומטי
1327,אוטומטי
1328,אוטומטי
1329,אוטומטי
1330,אוטומטי
1331,אוטומטי
1332,אוטומטי
1333,אוטומטי
1334,אוטומטי
1335,אוטומטי
1336,אוטומטי
1337,אוטומטי
1338,אוטומטי
1339,אוטומטי
1340,אוטומטי
1341,אוטומטי
1342,אוטומטי
1343,אוטומטי
1344,אוטומטי
1345,אוטומטי
1346,אוטומטי
1347,אוטומטי
1348,אוטומטי
1349,אוטומטי
1350,אוטומטי
1351,אוטומטי
1352,אוטומטי
1353,אוטומטי
1354,אוטומטי
1355,אוטומטי
1356,אוטומטי
1357,ידני
1358,ידני
1359,אוטומטי
1360,אוטומטי
1361,אוטומטי
1362,אוטומטי
1363,אוטומטי
1364,אוטומטי
1365,אוטומטי
1366,אוטומטי
1367,אוטומטי
1368,אוטומטי
1369,אוטומטי
1370,אוטומטי
1371,אוטומטי
1372,אוטומטי
1373,אוטומטי
1374,אוטומטי
1375,אוטומטי
1376,אוטומטי
1377,אוטומטי
1378,אוטומטי
1379,אוטומטי
1380,אוטומטי
1381,אוטומטי
1382,אוטומטי
1383,אוטומטי
1384,אוטומטי
1385,אוטומטי
1386,אוטומטי
1387,אוטומטי
1388,אוטומטי
1389,אוטומטי
1390,אוטומטי
1391,אוטומטי
1392,אוטומטי
1393,אוטומטי
1394,אוטומטי
1395,אוטומטי
1396,אוטומטי
1397,אוטומטי
1398,אוטומטי
1399,אוטומטי
1400,אוטומטי
1401,אוטומטי
1402,אוטומטי
1403,אוטומטי
1404,אוטומטי
1405,אוטומטי
1406,אוטומטי
1407,אוטומטי
1408,אוטומטי
1409,אוטומטי
1410,אוטומטי
1411,אוטומטי
1412,אוטומטי
1413,אוטומטי
1414,אוטומטי
1415,אוטומטי
1416,אוטומטי
1417,אוטומטי
1418,אוטומטי
1419,אוטומטי
1420,אוטומטי
1421,אוטומטי
1422,אוטומטי
1423,אוטומטי
1424,אוטומטי
1425,אוטומטי
1426,אוטומטי
1427,אוטומטי
1428,אוטומטי
1429,ידני
1430,אוטומטי
1431,אוטומטי
1432,אוטומטי
1433,אוטומטי
1434,אוטומטי
1435,אוטומטי
1436,אוטומטי
1437,ידני
1438,אוטומטי
1439,אוטומטי
1440,אוטומטי
1441,אוטומטי
1442,אוטומטי
1443,אוטומטי
1444,אוטומטי
1445,אוטומטי
1446,אוטומטי
1447,אוטומטי
1448,אוטומטי
1449,אוטומטי
1450,אוטומטי
1451,אוטומטי
1452,אוטומטי
1453,אוטומטי
1454,אוטומטי
1455,אוטומטי
1456,אוטומטי
1457,אוטומטי
1458,אוטומטי
1459,אוטומטי
1460,אוטומטי
1461,אוטומטי
1462,אוטומטי
1463,אוטומטי
1464,אוטומטי
1465,אוטומטי
1466,אוטומטי
1467,אוטומטי
1468,אוטומטי
1469,אוטומטי
1470,אוטומטי
1471,אוטומטי
1472,אוטומטי
1473,אוטומטי
1474,אוטומטי
1475,אוטומטי
1476,אוטומטי
1477,אוטומטי
1478,אוטומטי
1479,אוטומטי
1480,אוטומטי
1481,אוטומטי
1482,אוטומטי
1483,אוטומטי
1484,אוטומטי
1485,אוטומטי
1486,אוטומטי
1487,אוטומטי
1488,אוטומטי
1489,אוטומטי
1490,אוטומטי
1491,אוטומטי
1492,אוטומטי
1493,אוטומטי
1494,אוטומטי
1495,אוטומטי
1496,אוטומטי
1497,אוטומטי
1498,אוטומטי
1499,אוטומטי
1500,אוטומטי
1501,אוטומטי
1502,אוטומטי
1503,אוטומטי
1504,אוטומטי
1505,אוטומטי
1506,אוטומטי
1507,אוטומטי
1508,אוטומטי
1509,אוטומטי
1510,אוטומטי
1511,אוטומטי
1512,אוטומטי
1513,אוטומטי
