,city
133,ירכא
134,חיפה
135,עפולה
136,בת ים
137,קרית שמונה
138,ירושלים
139,חיפה
140,קרית שמונה
141,עפולה
142,חיפה
143,ראשון לציון
144,חיפה
145,עפולה
146,נתניה
147,עיספיא
148,עפולה
149,תל אביב יפו
150,רמת השרון
151,נס ציונה
152,באר טוביה
153,ראשון לציון
154,חיפה
155,תל אביב יפו
156,תל אביב יפו
157,חיפה
158,ראשון לציון
159,שדרות
160,עפולה
161,ראשון לציון
162,מאיפה שנוח לך בארץ
163,בת ים
164,פתח תקווה
165,פרדס חנה כרכור
166,פתח תקווה
167,חיפה
168,ראשון לציון
169,לוד
170,פתח תקווה
171,תל אביב-יפו
172,נתניה
173,פתח תקווה
174,עפולה
175,ירכא
176,תל אביב יפו
177,עפולה
178,חיפה
179,פתח תקווה
180,עפולה
181,ראשון לציון
182,נתניה
183,נתניה
184,חדרה
185,רחובות
186,רמת גן
187,נתיבות
188,רמת השרון
189,נתניה
190,נתניה
191,ראשון לציון
192,ראשון לציון
193,עפולה
194,פתח תקווה
195,אזור
196,רמלה
197,חדרה
198,פתח תקווה
199,בת ים
200,עפולה
201,נוף הגליל
202,נתניה
203,נתניה
204,ראשון לציון
205,חיפה
206,בת ים
207,נתניה
208,ראשון לציון
209,רמלה
210,באר שבע
211,ירושלים
212,פרדס חנה כרכור
213,רעננה
214,נוף הגליל
215,קרית אתא
216,ראשון לציון
217,ראשון לציון
218,פתח תקווה
219,רמלה
220,נתניה
221,חיפה
222,פתח תקווה
223,חיפה
224,נתניה
225,נתניה
226,חיפה
227,ראשון לציון
228,כפר חסידים א'
229,עפולה
230,ירכא
231,פתח תקווה
232,עפולה
233,הרצליה
234,רעננה
235,נתניה
236,עפולה
237,נתניה
238,פרדס חנה כרכור
239,פתח תקווה
240,פתח תקווה
241,עפולה
242,ראשון לציון
243,חיפה
244,בת ים
245,ראשון לציון
246,ראשון לציון
247,רמת השרון
248,ראשון לציון
249,ראשון לציון
250,קרית שמונה
251,ראשון לציון
252,ראשון לציון
253,נתניה
254,חיפה
255,ראשון לציון
256,ראשון לציון
257,נתניה
258,חולון
259,אזור
260,עפולה
261,נתניה
262,ראשון לציון
263,חולון
264,נתניה
265,נתניה
266,נתניה
267,נתניה
268,נתניה
269,חיפה
270,נתניה
271,אשדוד
272,ירושלים
273,פרדס חנה כרכור
274,נתניה
275,חיפה
276,נתניה
277,חיפה
278,נתניה
279,חולון
280,חיפה
281,חיפה
282,נתניה
283,קרית אתא
284,תל אביב יפו
285,נתניה
286,נתניה
287,נתניה
288,ראשון לציון
289,חיפה
290,כפר סבא
291,ירכא
292,כרמיאל
293,ראשון לציון
294,חיפה
295,פתח תקווה
296,ירושלים
297,ראשון לציון
298,פתח תקווה
299,ראשון לציון
300,פתח תקווה
301,כפר סבא
302,רמת השרון
303,קרית שמונה
304,חיפה
305,ראשון לציון
306,פתח תקווה
307,הרצליה
308,ירכא
309,רמת השרון
310,חיפה
311,עפולה
312,חיפה
313,חדרה
314,חיפה
315,חיפה
316,נתניה
317,פתח תקווה
318,פתח תקווה
319,כרמיאל
320,ירכא
321,נתניה
322,עפולה
323,אום אל-פחם
324,נתניה
325,פתח תקווה
326,חיפה
327,ראשון לציון
328,ראשון לציון
329,חולון
330,עפולה
331,קרית שמונה
332,אבן יהודה
333,נתניה
334,רמת השרון
335,חיפה
336,אשדוד
337,חיפה
338,עפולה
339,נתניה
340,רמת השרון
341,קרית שמונה
342,ירכא
343,ראשון לציון
344,לוד
345,חיפה
346,שפרעם
347,ראשון לציון
348,באר שבע
349,נתניה
350,ראשון לציון
351,רעננה
352,קרית שמונה
353,חיפה
354,חדרה
355,שדרות
356,ראשון לציון
357,רמלה
358,ראשון לציון
359,רמת השרון
360,נתניה
361,ראשון לציון
362,נתניה
363,חיפה
364,חיפה
365,חיפה
366,קרית שמונה
367,ראשון לציון
368,ראשון לציון
369,פתח תקווה
370,קרית שמונה
371,עפולה
372,מאיפה שנוח לך בארץ
373,נתניה
374,חיפה
375,עיספיא
376,אשדוד
377,הרצליה
378,פרדס חנה כרכור
379,תל אביב יפו
380,קרית שמונה
381,איכסאל
382,ראשון לציון
383,נתיבות
384,נתניה
385,עפולה
386,נתניה
387,עפולה
388,עפולה
389,נתניה
390,פתח תקווה
391,נתניה
392,ראשון לציון
393,עפולה
394,פתח תקווה
395,רעננה
396,רעננה
397,עראבה
398,רמת השרון
399,גדרה
400,קרית שמונה
401,עפולה
402,קרית שמונה
403,מע'אר
404,עפולה
405,בת ים
406,פרדס חנה כרכור
407,ראשון לציון
408,רמת השרון
409,ראשון לציון
410,רמת השרון
411,חדרה
412,חיפה
413,עפולה
414,ראשון לציון
415,עפולה
416,רמת השרון
417,חיפה
418,חדרה
419,חיפה
420,אשדוד
421,נס ציונה
422,חיפה
423,תל אביב יפו
424,בת ים
425,ראשון לציון
426,פתח תקווה
427,נתניה
428,פתח תקווה
429,ראשון לציון
430,עפולה
431,חיפה
432,רעננה
433,חדרה
434,נוף הגליל
435,נוף הגליל
436,חולון
437,קרית אתא
438,ראשון לציון
439,עיספיא
440,ראשון לציון
441,רמלה
442,בת ים
443,נתניה
444,ראשון לציון
445,עיספיא
446,ראשון לציון
447,נתניה
448,כפר סבא
449,חדרה
450,רמת השרון
451,חדרה
452,אבן יהודה
453,נתניה
454,חולון
455,חיפה
456,חיפה
457,רמת השרון
458,בת ים
459,רמת השרון
460,ראשון לציון
461,בת ים
462,נתניה
463,ראשון לציון
464,איכסאל
465,פתח תקווה
466,נתניה
467,רמת השרון
468,רמת השרון
469,רעננה
470,תל אביב יפו
471,חיפה
472,אשדוד
473,נתניה
474,עפולה
475,חיפה
476,קרית שמונה
477,ירכא
478,עפולה
479,חיפה
480,חיפה
481,חיפה
482,רמת השרון
483,ראשון לציון
484,נתניה
485,ראשון לציון
486,ראשון לציון
487,נתניה
488,חיפה
489,ראשון לציון
490,ראשון לציון
491,ריינה
492,לוד
493,ראשון לציון
494,חיפה
495,תל אביב יפו
496,ראשון לציון
497,רמת השרון
498,נוף הגליל
499,פתח תקווה
500,ראשון לציון
501,כרמיאל
502,קרית שמונה
503,חדרה
504,פתח תקווה
505,ראשון לציון
506,נתניה
507,ראשון לציון
508,קרית שמונה
509,איכסאל
510,מאיפה שנוח לך בארץ
511,חיפה
512,נתניה
513,נתניה
514,פתח תקווה
515,טמרה
516,פתח תקווה
517,מאיפה שנוח לך בארץ
518,נתניה
519,כפר סבא
520,חיפה
521,חיפה
522,ראשון לציון
523,לוד
524,חיפה
525,נתניה
526,מאיפה שנוח לך בארץ
527,איכסאל
528,עפולה
529,רמת השרון
530,רחובות
531,נתניה
532,נתניה
533,חולון
534,הרצליה
535,עיספיא
536,ראשון לציון
537,נוף הגליל
538,פתח תקווה
539,נתניה
540,שדרות
541,חיפה
542,חיפה
543,חיפה
544,נתניה
545,נתניה
546,רמת השרון
547,ראשון לציון
548,תל אביב יפו
549,בת ים
550,רמת השרון
551,קרית שמונה
552,נתניה
553,נתניה
554,ראשון לציון
555,ירכא
556,חיפה
557,ראשון לציון
558,נתניה
559,מאיפה שנוח לך בארץ
560,כרמיאל
561,חיפה
562,נוף הגליל
563,ראשון לציון
564,ירכא
565,אשדוד
566,ראשון לציון
567,רעננה
568,ראשון לציון
569,הרצליה
570,ראשון לציון
571,עפולה
572,בת ים
573,עפולה
574,מאיפה שנוח לך בארץ
575,חיפה
576,רעננה
577,חדרה
578,מע'אר
579,חיפה
580,נתניה
581,חיפה
582,חיפה
583,חדרה
584,נתניה
585,נתניה
586,חדרה
587,קרית שמונה
588,שפרעם
589,חיפה
590,נתניה
591,חיפה
592,אשדוד
593,אשדוד
594,לוד
595,קרית שמונה
596,חיפה
597,נתניה
598,פתח תקווה
599,נתניה
600,שדרות
601,חיפה
602,פתח תקווה
603,אשדוד
604,ראשון לציון
605,בת ים
606,קרית שמונה
607,נתניה
608,ירכא
609,עפולה
610,ראשון לציון
611,פתח תקווה
612,חיפה
613,חיפה
614,נצרת
615,חיפה
616,עפולה
617,פרדס חנה כרכור
618,נתניה
619,שדרות
620,חדרה
621,חולון
622,לוד
623,רעננה
624,ראשון לציון
625,נתניה
626,חיפה
627,חיפה
628,רמת השרון
629,עפולה
630,באר טוביה
631,נתניה
632,חדרה
633,חיפה
634,חיפה
635,עפולה
636,קרית שמונה
637,בת ים
638,קרית שמונה
639,ראשון לציון
640,קרית שמונה
641,חדרה
642,רמת גן
643,בת ים
644,ראשון לציון
645,פתח תקווה
646,ראשון לציון
647,סח'נין
648,רמת השרון
649,כרמיאל
650,ירכא
651,רעננה
652,חיפה
653,קרית שמונה
654,קרית שמונה
655,רמת השרון
656,פתח תקווה
657,נתניה
658,ירכא
659,עפולה
660,ראשון לציון
661,אשדוד
662,גדרה
663,נתניה
664,עפולה
665,תל אביב יפו
666,חיפה
667,פתח תקווה
668,פתח תקווה
669,ראשון לציון
670,חיפה
671,לוד
672,ראשון לציון
673,נתניה
674,חיפה
675,חיפה
676,נתניה
677,נתניה
678,ראשון לציון
679,ראשון לציון
680,ראשון לציון
681,נתניה
682,ראשון לציון
683,בת ים
684,נתניה
685,רמת השרון
686,כרמיאל
687,נתיבות
688,נתניה
689,ירושלים
690,נתניה
691,נתניה
692,טמרה
693,נתניה
694,עפולה
695,עפולה
696,באר שבע
697,נתניה
698,נתניה
699,נתניה
700,רעננה
701,ראשון לציון
702,ראשון לציון
703,ראשון לציון
704,עפולה
705,נתניה
706,חיפה
707,חיפה
708,טמרה
709,ראשון לציון
710,קרית שמונה
711,ראשון לציון
712,עראבה
713,נתניה
714,נתניה
715,נוף הגליל
716,רמת השרון
717,ראשון לציון
718,עפולה
719,ירושלים
720,חולון
721,חיפה
722,פתח תקווה
723,מאיפה שנוח לך בארץ
724,פתח תקווה
725,חיפה
726,נתניה
727,ראשון לציון
728,נתניה
729,נתניה
730,עפולה
731,בת ים
732,ראשון לציון
733,רמת השרון
734,נתניה
735,בת ים
736,נתניה
737,ראשון לציון
738,ראשון לציון
739,ירכא
740,פתח תקווה
741,חדרה
742,ראשון לציון
743,קרית אתא
744,חיפה
745,בת ים
746,פתח תקווה
747,רמת השרון
748,רמת השרון
749,נתניה
750,רמת השרון
751,באר שבע
752,חיפה
753,בת ים
754,נתניה
755,אבן יהודה
756,חיפה
757,חיפה
758,פתח תקווה
759,נתיבות
760,לוד
761,נתניה
762,נתניה
763,נתניה
764,ראשון לציון
765,ירכא
766,פתח תקווה
767,עיספיא
768,פתח תקווה
769,חיפה
770,רמת גן
771,תל אביב יפו
772,ראשון לציון
773,פתח תקווה
774,נתניה
775,אבן יהודה
776,עפולה
777,תל אביב יפו
778,פתח תקווה
779,רמת השרון
780,פתח תקווה
781,חיפה
782,כפר סבא
783,קרית שמונה
784,פתח תקווה
785,ראשון לציון
786,חיפה
787,רמת גן
788,חיפה
789,עפולה
790,עפולה
791,נתניה
792,ראשון לציון
793,ראשון לציון
794,קרית אתא
795,חדרה
796,ירכא
797,חיפה
798,עפולה
799,ראשון לציון
800,ראשון לציון
801,ראשון לציון
802,חיפה
803,בת ים
804,נתניה
805,באר שבע
806,לוד
807,רמת השרון
808,פתח תקווה
809,חדרה
810,נתניה
811,בת ים
812,קרית אתא
813,קרית שמונה
814,ראשון לציון
815,חדרה
816,חיפה
817,חיפה
818,פתח תקווה
819,נוף הגליל
820,פתח תקווה
821,רמת השרון
822,נתניה
823,ראשון לציון
824,נתניה
825,רעננה
826,חולון
827,בת ים
828,הרצליה
829,מאיפה שנוח לך בארץ
830,עפולה
831,ראשון לציון
832,פתח תקווה
833,ראשון לציון
834,חדרה
835,ראשון לציון
836,עפולה
837,קרית שמונה
838,נתניה
839,ירכא
840,ירכא
841,עפולה
842,תל אביב יפו
843,ראשון לציון
844,נתניה
845,חדרה
846,ראשון לציון
847,לוד
848,שפרעם
849,רעננה
850,נתניה
851,נתניה
852,ראשון לציון
853,נתיבות
854,כפר כנא
855,פתח תקווה
856,קרית שמונה
857,נתניה
858,נתניה
859,פתח תקווה
860,ירכא
861,ראשון לציון
862,נתניה
863,נתניה
864,ראשון לציון
865,ראשון לציון
866,ראשון לציון
867,נתניה
868,פתח תקווה
869,עפולה
870,חדרה
871,עפולה
872,ראשון לציון
873,חיפה
874,פתח תקווה
875,ראשון לציון
876,באר שבע
877,חיפה
878,תל אביב יפו
879,נתניה
880,חיפה
881,בת ים
882,שפרעם
883,באר טוביה
884,פתח תקווה
885,חיפה
886,ראשון לציון
887,ירכא
888,נס ציונה
889,חיפה
890,נס ציונה
891,חולון
892,פתח תקווה
893,באר טוביה
894,ראשון לציון
895,חיפה
896,רמת השרון
897,עפולה
898,שדרות
899,ראשון לציון
900,ראשון לציון
901,ראשון לציון
902,כפר חסידים א'
903,קרית שמונה
904,ירושלים
905,נתניה
906,ראשון לציון
907,נתניה
908,עפולה
909,עפולה
910,ראשון לציון
911,רמת השרון
912,ראשון לציון
913,רמת גן
914,פתח תקווה
915,אבן יהודה
916,תל אביב יפו
917,ירושלים
918,חיפה
919,נתניה
920,עפולה
921,חיפה
922,עפולה
923,חיפה
924,נתניה
925,פתח תקווה
926,לוד
927,חיפה
928,נתניה
929,קרית אתא
930,ראשון לציון
931,נתניה
932,חיפה
933,עפולה
934,ראשון לציון
935,ראשון לציון
936,ראשון לציון
937,חולון
938,נוף הגליל
939,ראשון לציון
940,מאיפה שנוח לך בארץ
941,רעננה
942,ראשון לציון
943,רעננה
944,פתח תקווה
945,עפולה
946,אשדוד
947,באר טוביה
948,ירושלים
949,טמרה
950,ירכא
951,פתח תקווה
952,נתניה
953,חולון
954,קרית שמונה
955,ראשון לציון
956,חדרה
957,בת ים
958,ראשון לציון
959,עפולה
960,חיפה
961,נתניה
962,ראשון לציון
963,חיפה
964,נתניה
965,חדרה
966,חיפה
967,חיפה
968,שפרעם
969,נתניה
970,תל אביב יפו
971,חיפה
972,נתניה
973,ירכא
974,ירושלים
975,מאיפה שנוח לך בארץ
976,נתניה
977,נתניה
978,חיפה
979,נוף הגליל
980,פתח תקווה
981,ראשון לציון
982,פתח תקווה
983,נתניה
984,חיפה
985,טמרה
986,קרית שמונה
987,פתח תקווה
988,רעננה
989,חיפה
990,ראשון לציון
991,נתניה
992,נוף הגליל
993,נתניה
994,ראשון לציון
995,ראשון לציון
996,ירושלים
997,כרמיאל
998,חיפה
999,עפולה
1000,כפר כנא
1001,נתניה
1002,נתניה
1003,כפר כנא
1004,ראשון לציון
1005,פתח תקווה
1006,חדרה
1007,רמת השרון
1008,חדרה
1009,נתניה
1010,נתיבות
1011,נתניה
1012,נתניה
1013,עיספיא
1014,כפר כנא
1015,ראשון לציון
1016,קרית שמונה
1017,חיפה
1018,ראשון לציון
1019,כפר סבא
1020,לוד
1021,פתח תקווה
1022,נתניה
1023,עיספיא
1024,ראשון לציון
1025,חיפה
1026,חיפה
1027,פתח תקווה
1028,מאיפה שנוח לך בארץ
1029,חדרה
1030,נתניה
1031,חיפה
1032,רמת השרון
1033,עפולה
1034,נתניה
1035,חיפה
1036,רעננה
1037,ראשון לציון
1038,כפר חסידים א'
1039,אשדוד
1040,פתח תקווה
1041,חדרה
1042,נתניה
1043,חולון
1044,ראשון לציון
1045,חיפה
1046,מאיפה שנוח לך בארץ
1047,רחובות
1048,קרית שמונה
1049,חיפה
1050,רמלה
1051,ראשון לציון
1052,טמרה
1053,ירושלים
1054,רעננה
1055,נוף הגליל
1056,בת ים
1057,רמת השרון
1058,נתניה
1059,נס ציונה
1060,נתניה
1061,קרית שמונה
1062,נתניה
1063,עפולה
1064,קרית אתא
1065,בת ים
1066,ירכא
1067,אבו סנאן
1068,רעננה
1069,פתח תקווה
1070,פתח תקווה
1071,ירושלים
1072,ראשון לציון
1073,חיפה
1074,עפולה
1075,חדרה
1076,נתניה
1077,פתח תקווה
1078,רחובות
1079,ראשון לציון
1080,ראשון לציון
1081,שדרות
1082,מאיפה שנוח לך בארץ
1083,נתניה
1084,ראשון לציון
1085,ראשון לציון
1086,עפולה
1087,נתניה
1088,חיפה
1089,חולון
1090,חיפה
1091,חדרה
1092,חולון
1093,נתיבות
1094,חיפה
1095,רמלה
1096,נתניה
1097,חיפה
1098,נתניה
1099,כפר חסידים א'
1100,פתח תקווה
1101,פרדס חנה כרכור
1102,עפולה
1103,ראשון לציון
1104,שפרעם
1105,באר שבע
1106,כרמיאל
1107,פתח תקווה
1108,תל אביב יפו
1109,חיפה
1110,נס ציונה
1111,קרית אתא
1112,נתניה
1113,נתניה
1114,חיפה
1115,נתיבות
1116,עראבה
1117,עפולה
1118,נתניה
1119,ראשון לציון
1120,ראשון לציון
1121,פתח תקווה
1122,נתניה
1123,נתניה
1124,קרית שמונה
1125,ראשון לציון
1126,קרית שמונה
1127,בת ים
1128,אשדוד
1129,רמת השרון
1130,תל אביב יפו
1131,עפולה
1132,לוד
1133,לוד
1134,נתניה
1135,פרדס חנה כרכור
1136,ראשון לציון
1137,תל אביב יפו
1138,פתח תקווה
1139,פתח תקווה
1140,רמת השרון
1141,ירכא
1142,חיפה
1143,נתניה
1144,פתח תקווה
1145,ראשון לציון
1146,פתח תקווה
1147,ירושלים
1148,חיפה
1149,ראשון לציון
1150,ירכא
1151,עפולה
1152,חיפה
1153,נתניה
1154,פתח תקווה
1155,חיפה
1156,נוף הגליל
1157,נתניה
1158,טמרה
1159,ראשון לציון
1160,פתח תקווה
1161,נתניה
1162,בת ים
1163,חדרה
1164,מאיפה שנוח לך בארץ
1165,כפר סבא
1166,נתניה
1167,רמלה
1168,חדרה
1169,חיפה
1170,עפולה
1171,קרית שמונה
1172,נתניה
1173,איכסאל
1174,חיפה
1175,נתניה
1176,חדרה
1177,כפר סבא
1178,פתח תקווה
1179,חדרה
1180,עפולה
1181,חיפה
1182,ראשון לציון
1183,נתניה
1184,נתניה
1185,פתח תקווה
1186,תל אביב יפו
1187,נתניה
1188,חיפה
1189,ראשון לציון
1190,ראשון לציון
1191,פתח תקווה
1192,ראשון לציון
1193,אשדוד
1194,חיפה
1195,באר שבע
1196,נתניה
1197,נתניה
1198,נתניה
1199,חדרה
1200,ראשון לציון
1201,חדרה
1202,פתח תקווה
1203,רמת השרון
1204,אשדוד
1205,כרמיאל
1206,רחובות
1207,ראשון לציון
1208,אשדוד
1209,אשדוד
1210,תל אביב יפו
1211,כפר חסידים א'
1212,אשדוד
1213,מאיפה שנוח לך בארץ
1214,ראשון לציון
1215,חדרה
1216,חיפה
1217,עיספיא
1218,אבן יהודה
1219,בת ים
1220,פתח תקווה
1221,עפולה
1222,עפולה
1223,חולון
1224,ירכא
1225,חדרה
1226,ריינה
1227,רמת השרון
1228,מאיפה שנוח לך בארץ
1229,ירושלים
1230,פתח תקווה
1231,חיפה
1232,פתח תקווה
1233,אבן יהודה
1234,ירכא
1235,באר שבע
1236,ירכא
1237,עראבה
1238,נתניה
1239,חדרה
1240,עפולה
1241,חיפה
1242,נתניה
1243,חיפה
1244,קרית אתא
1245,עפולה
1246,ראשון לציון
1247,רמת השרון
1248,נתניה
1249,פתח תקווה
1250,חיפה
1251,ראשון לציון
1252,נתניה
1253,אשדוד
1254,כפר כנא
1255,ירכא
1256,ראשון לציון
1257,פתח תקווה
1258,עיספיא
1259,נתניה
1260,פתח תקווה
1261,חיפה
1262,נתניה
1263,חיפה
1264,רחובות
1265,נתניה
1266,ראשון לציון
1267,חיפה
1268,נתניה
1269,ראשון לציון
1270,קרית אתא
1271,רמת השרון
1272,נוף הגליל
1273,כרמיאל
1274,ירכא
1275,חיפה
1276,פתח תקווה
1277,נתניה
1278,הרצליה
1279,ראשון לציון
1280,כפר חסידים א'
1281,רמת גן
1282,חיפה
1283,ראשון לציון
1284,חדרה
1285,פרדס חנה כרכור
1286,חיפה
1287,פתח תקווה
1288,חדרה
1289,ראשון לציון
1290,עפולה
1291,רמת השרון
1292,מאיפה שנוח לך בארץ
1293,הרצליה
1294,ראשון לציון
1295,פתח תקווה
1296,רמת השרון
1297,ירכא
1298,נתניה
1299,ירכא
1300,ראשון לציון
1301,נתניה
1302,ירושלים
1303,ירכא
1304,עפולה
1305,עיספיא
1306,חיפה
1307,חיפה
1308,פתח תקווה
1309,חיפה
1310,חיפה
1311,פתח תקווה
1312,אבן יהודה
1313,ראשון לציון
1314,נתניה
1315,אבן יהודה
1316,נתיבות
1317,פתח תקווה
1318,אבן יהודה
1319,חיפה
1320,חיפה
1321,מאיפה שנוח לך בארץ
1322,קרית שמונה
1323,נתניה
1324,עראבה
1325,פרדס חנה כרכור
1326,ראשון לציון
1327,פתח תקווה
1328,נתניה
1329,נתניה
1330,רמת גן
1331,אום אל-פחם
1332,חיפה
1333,אשדוד
1334,ראשון לציון
1335,חדרה
1336,אשדוד
1337,חולון
1338,ראשון לציון
1339,ירכא
1340,רמת השרון
1341,מאיפה שנוח לך בארץ
1342,נתניה
1343,בת ים
1344,ראשון לציון
1345,רמלה
1346,ראשון לציון
1347,נתניה
1348,ראשון לציון
1349,אשדוד
1350,ירכא
1351,חיפה
1352,חיפה
1353,פתח תקווה
1354,פתח תקווה
1355,בת ים
1356,פתח תקווה
1357,ירכא
1358,חיפה
1359,חיפה
1360,פתח תקווה
1361,מאיפה שנוח לך בארץ
1362,שפרעם
1363,רמת השרון
1364,עפולה
1365,קרית שמונה
1366,ראשון לציון
1367,חדרה
1368,נתניה
1369,פתח תקווה
1370,נתניה
1371,נתניה
1372,רמת השרון
1373,נתניה
1374,ראשון לציון
1375,נתניה
1376,מאיפה שנוח לך בארץ
1377,חיפה
1378,ראשון לציון
1379,ראשון לציון
1380,פתח תקווה
1381,קרית שמונה
1382,ראשון לציון
1383,ירושלים
1384,ראשון לציון
1385,מאיפה שנוח לך בארץ
1386,פתח תקווה
1387,עפולה
1388,פתח תקווה
1389,רמת השרון
1390,חיפה
1391,רעננה
1392,קרית שמונה
1393,פתח תקווה
1394,חיפה
1395,רמת השרון
1396,רעננה
1397,עפולה
1398,כפר כנא
1399,נתניה
1400,טמרה
1401,רעננה
1402,נתניה
1403,עפולה
1404,נתניה
1405,עפולה
1406,אשדוד
1407,נתניה
1408,רעננה
1409,ראשון לציון
1410,חיפה
1411,נתניה
1412,חיפה
1413,נתניה
1414,חיפה
1415,חיפה
1416,חדרה
1417,רמת השרון
1418,רמת גן
1419,ירושלים
1420,ירכא
1421,רמת השרון
1422,אשדוד
1423,פתח תקווה
1424,חיפה
1425,רמלה
1426,שפרעם
1427,פתח תקווה
1428,לוד
1429,נתניה
1430,איכסאל
1431,רמת השרון
1432,ראשון לציון
1433,ירכא
1434,נתניה
1435,עפולה
1436,רמת גן
1437,חולון
1438,קרית אתא
1439,עפולה
1440,קרית שמונה
1441,עראבה
1442,באר טוביה
1443,חיפה
1444,רמת השרון
1445,ראשון לציון
1446,רמלה
1447,עראבה
1448,ריינה
1449,איכסאל
1450,כרמיאל
1451,פתח תקווה
1452,חדרה
1453,ראשון לציון
1454,נתיבות
1455,בת ים
1456,באר טוביה
1457,פתח תקווה
1458,ריינה
1459,כרמיאל
1460,חולון
1461,פתח תקווה
1462,ראשון לציון
1463,חדרה
1464,חולון
1465,ירכא
1466,נתניה
1467,פתח תקווה
1468,פתח תקווה
1469,עפולה
1470,נתניה
1471,חולון
1472,פתח תקווה
1473,נתניה
1474,נתניה
1475,רמת השרון
1476,לוד
1477,רמת השרון
1478,עפולה
1479,איכסאל
1480,חולון
1481,נתניה
1482,עיספיא
1483,ראשון לציון
1484,אבן יהודה
1485,ראשון לציון
1486,ראשון לציון
1487,עפולה
1488,ראשון לציון
1489,חיפה
1490,לוד
1491,נתניה
1492,קרית שמונה
1493,ראשון לציון
1494,חיפה
1495,ראשון לציון
1496,רעננה
1497,כפר סבא
1498,ראשון לציון
1499,חיפה
1500,באר טוביה
1501,פתח תקווה
1502,נתניה
1503,נתניה
1504,רמת השרון
1505,נתניה
1506,חיפה
1507,פתח תקווה
1508,איכסאל
1509,חיפה
1510,ראשון לציון
1511,פרדס חנה כרכור
1512,חדרה
1513,חיפה
1514,נתניה
1515,עפולה
1516,חדרה
1517,נתניה
1518,ראשון לציון
1519,נתניה
1520,נתניה
1521,מאיפה שנוח לך בארץ
1522,חיפה
1523,חיפה
1524,ראשון לציון
1525,טמרה
1526,ירכא
1527,רמת השרון
1528,חדרה
1529,פרדס חנה כרכור
1530,נתניה
1531,נתיבות
1532,ראשון לציון
1533,נתניה
1534,ראשון לציון
1535,פתח תקווה
1536,ריינה
1537,ראשון לציון
1538,נתניה
1539,טבריה
1540,פתח תקווה
1541,חיפה
1542,נתניה
1543,רמת השרון
1544,חיפה
1545,רחובות
1546,נתניה
1547,רמת השרון
1548,פתח תקווה
1549,חיפה
1550,פתח תקווה
1551,ראשון לציון
1552,עפולה
1553,חיפה
1554,ירושלים
1555,חיפה
1556,ראשון לציון
1557,ירושלים
1558,חיפה
1559,אשדוד
1560,פתח תקווה
1561,ראשון לציון
1562,עפולה
1563,נס ציונה
1564,נתניה
1565,חיפה
1566,נתניה
1567,אשדוד
1568,בת ים
1569,רמת השרון
1570,תל אביב יפו
1571,חדרה
1572,חדרה
1573,חיפה
1574,פתח תקווה
1575,רמת השרון
1576,נתניה
1577,ירכא
1578,רמלה
1579,חולון
1580,נתניה
1581,נתניה
1582,פרדס חנה כרכור
1583,קרית אתא
1584,נוף הגליל
1585,ראשון לציון
1586,מאיפה שנוח לך בארץ
1587,רעננה
1588,עפולה
1589,חולון
1590,ראשון לציון
1591,תל אביב יפו
1592,אום אל-פחם
1593,בת ים
1594,נתניה
