,price
143,"86,000 ₪"
144,"74,900 ₪"
145,"80,000 ₪"
146,"45,000 ₪"
147,"125,000 ₪"
148,"84,900 ₪"
149,"67,500 ₪"
150,"107,900 ₪"
151,"89,999 ₪"
152,"64,900 ₪"
153,"35,900 ₪"
154,"84,000 ₪"
155,"59,500 ₪"
156,"97,900 ₪"
157,"66,900 ₪"
158,"68,500 ₪"
159,"32,000 ₪"
160,"29,990 ₪"
161,"94,900 ₪"
162,"125,000 ₪"
163,"109,000 ₪"
164,"114,900 ₪"
165,"79,900 ₪"
166,"54,999 ₪"
167,"48,000 ₪"
168,"114,990 ₪"
169,"279,900 ₪"
170,"265,000 ₪"
171,"110,900 ₪"
172,"590,000 ₪"
173,"635,000 ₪"
174,"96,900 ₪"
175,"114,000 ₪"
176,"133,000 ₪"
177,"121,000 ₪"
178,"125,000 ₪"
179,"82,000 ₪"
180,"35,000 ₪"
181,"119,900 ₪"
182,"98,900 ₪"
183,"65,000 ₪"
184,"65,000 ₪"
185,"117,900 ₪"
186,"139,000 ₪"
187,"179,900 ₪"
188,"97,000 ₪"
189,"106,900 ₪"
190,"152,000 ₪"
191,"95,000 ₪"
192,"149,000 ₪"
193,"128,900 ₪"
194,"97,000 ₪"
195,"145,900 ₪"
196,"17,000 ₪"
197,"169,000 ₪"
198,"105,900 ₪"
199,"220,900 ₪"
200,"80,000 ₪"
201,"90,000 ₪"
202,"117,000 ₪"
203,"159,900 ₪"
204,"217,000 ₪"
205,"117,900 ₪"
206,"145,000 ₪"
207,"40,000 ₪"
208,"174,503 ₪"
209,"81,900 ₪"
210,"75,000 ₪"
211,"50,000 ₪"
212,"170,000 ₪"
213,"13,999 ₪"
214,"47,500 ₪"
215,"100,000 ₪"
216,"19,500 ₪"
217,"58,900 ₪"
218,"78,900 ₪"
219,"50,000 ₪"
220,"149,000 ₪"
221,"153,163 ₪"
222,"139,900 ₪"
223,"74,900 ₪"
224,"89,900 ₪"
225,"165,000 ₪"
226,"59,900 ₪"
227,"58,000 ₪"
228,"112,900 ₪"
229,"89,000 ₪"
230,"105,000 ₪"
231,"112,000 ₪"
232,"112,000 ₪"
233,"132,900 ₪"
234,"97,990 ₪"
235,"91,900 ₪"
236,"104,000 ₪"
237,"334,650 ₪"
238,"105,900 ₪"
239,"37,900 ₪"
240,"24,999 ₪"
241,"60,000 ₪"
242,"45,000 ₪"
243,"90,000 ₪"
244,"93,000 ₪"
245,"240,000 ₪"
246,"269,000 ₪"
247,"69,000 ₪"
248,"99,900 ₪"
249,"107,900 ₪"
250,"105,900 ₪"
251,"89,000 ₪"
252,"299,990 ₪"
253,"72,900 ₪"
254,"40,900 ₪"
255,"92,900 ₪"
256,"189,999 ₪"
257,"149,500 ₪"
258,"44,900 ₪"
259,"90,000 ₪"
260,"39,900 ₪"
261,"195,000 ₪"
262,"97,000 ₪"
263,"306,000 ₪"
264,"85,000 ₪"
265,"134,000 ₪"
266,"344,253 ₪"
267,"360,000 ₪"
268,"75,000 ₪"
269,"119,000 ₪"
270,"99,900 ₪"
271,"29,990 ₪"
272,"208,550 ₪"
273,"103,900 ₪"
274,"25,000 ₪"
275,"14,999 ₪"
276,"285,000 ₪"
277,"162,000 ₪"
278,"64,900 ₪"
279,"52,000 ₪"
280,"26,000 ₪"
281,"52,000 ₪"
282,"106,900 ₪"
283,"99,900 ₪"
284,"158,110 ₪"
285,"156,000 ₪"
286,"107,500 ₪"
287,"88,000 ₪"
288,"199,000 ₪"
289,"252,000 ₪"
290,"289,900 ₪"
291,"79,900 ₪"
292,"20,000 ₪"
293,"60,000 ₪"
294,"100,000 ₪"
295,"79,900 ₪"
296,"119,900 ₪"
297,"112,900 ₪"
298,"55,000 ₪"
299,"124,900 ₪"
300,"81,900 ₪"
301,"235,000 ₪"
302,"118,000 ₪"
303,"89,000 ₪"
304,"154,900 ₪"
305,"72,500 ₪"
306,"79,900 ₪"
307,"64,900 ₪"
308,"62,900 ₪"
309,"122,400 ₪"
310,"280,000 ₪"
311,"123,900 ₪"
312,"77,000 ₪"
313,"119,000 ₪"
314,"75,000 ₪"
315,"98,000 ₪"
316,"45,000 ₪"
317,"108,900 ₪"
318,"155,000 ₪"
319,"102,000 ₪"
320,"78,900 ₪"
321,"135,000 ₪"
322,"80,000 ₪"
323,"148,000 ₪"
324,"116,000 ₪"
325,"198,000 ₪"
326,"112,000 ₪"
327,"150,900 ₪"
328,"114,999 ₪"
329,"73,000 ₪"
330,"119,000 ₪"
331,"159,000 ₪"
332,"430,000 ₪"
333,"88,000 ₪"
334,"20,000 ₪"
335,"85,000 ₪"
336,"126,900 ₪"
337,"126,900 ₪"
338,"119,000 ₪"
339,"110,900 ₪"
340,"120,900 ₪"
341,"129,900 ₪"
342,"115,000 ₪"
343,"109,900 ₪"
344,"269,990 ₪"
345,"580,000 ₪"
346,"133,900 ₪"
347,"68,000 ₪"
348,"81,000 ₪"
349,"114,000 ₪"
350,"38,900 ₪"
351,"98,000 ₪"
352,"299,000 ₪"
353,"77,900 ₪"
354,"129,000 ₪"
355,"125,000 ₪"
356,"36,000 ₪"
357,"23,000 ₪"
358,"92,000 ₪"
359,"101,900 ₪"
360,"32,000 ₪"
361,"189,000 ₪"
362,"68,900 ₪"
363,"93,000 ₪"
364,"94,000 ₪"
365,"95,000 ₪"
366,"130,000 ₪"
367,"101,900 ₪"
368,"74,900 ₪"
369,"39,990 ₪"
370,"89,900 ₪"
371,"65,000 ₪"
372,"63,900 ₪"
373,"84,000 ₪"
374,"197,900 ₪"
375,"165,000 ₪"
376,"39,000 ₪"
377,"35,000 ₪"
378,"180,000 ₪"
379,"63,000 ₪"
380,"285,000 ₪"
381,"106,900 ₪"
382,"215,000 ₪"
383,"74,999 ₪"
384,"48,000 ₪"
385,"239,999 ₪"
386,"54,000 ₪"
387,"104,900 ₪"
388,"79,900 ₪"
389,"95,900 ₪"
390,"68,000 ₪"
391,"136,900 ₪"
392,"104,900 ₪"
393,"74,900 ₪"
394,"109,000 ₪"
395,"125,900 ₪"
396,"130,000 ₪"
397,"109,900 ₪"
398,"34,999 ₪"
399,"25,900 ₪"
400,"124,500 ₪"
401,"88,000 ₪"
402,"73,900 ₪"
403,"109,900 ₪"
404,"175,000 ₪"
405,"53,900 ₪"
406,"189,999 ₪"
407,"190,000 ₪"
408,"100,000 ₪"
409,"104,500 ₪"
410,"54,999 ₪"
411,"129,900 ₪"
412,"96,900 ₪"
413,"179,000 ₪"
414,"148,900 ₪"
415,"105,900 ₪"
416,"110,000 ₪"
417,"79,000 ₪"
418,"14,900 ₪"
419,"66,500 ₪"
420,"116,900 ₪"
421,"34,999 ₪"
422,"88,900 ₪"
423,"55,000 ₪"
424,"95,900 ₪"
425,"54,000 ₪"
426,"57,999 ₪"
427,"170,500 ₪"
428,"118,500 ₪"
429,"77,900 ₪"
430,"103,900 ₪"
431,"59,990 ₪"
432,"118,900 ₪"
433,"109,000 ₪"
434,"77,000 ₪"
435,"87,000 ₪"
436,"92,000 ₪"
437,"101,900 ₪"
438,"85,000 ₪"
439,"719,000 ₪"
440,"239,000 ₪"
441,"74,500 ₪"
442,"94,000 ₪"
443,"110,000 ₪"
444,"444,000 ₪"
445,"55,000 ₪"
446,"98,500 ₪"
447,"49,990 ₪"
448,"89,000 ₪"
449,"165,000 ₪"
450,"44,900 ₪"
451,"79,999 ₪"
452,"95,000 ₪"
453,"113,900 ₪"
454,"73,900 ₪"
455,"68,000 ₪"
456,"61,000 ₪"
457,"98,000 ₪"
458,"63,900 ₪"
459,"74,900 ₪"
460,"83,900 ₪"
461,"109,900 ₪"
462,"86,000 ₪"
463,"84,000 ₪"
464,"94,900 ₪"
465,"19,900 ₪"
466,"79,000 ₪"
467,"109,900 ₪"
468,"144,500 ₪"
469,"126,000 ₪"
470,"87,900 ₪"
471,"113,000 ₪"
472,"96,900 ₪"
473,"99,900 ₪"
474,"103,000 ₪"
475,"110,500 ₪"
476,"96,900 ₪"
477,"108,900 ₪"
478,"59,900 ₪"
479,"114,900 ₪"
480,"90,900 ₪"
481,"269,990 ₪"
482,"87,000 ₪"
483,"101,900 ₪"
484,"91,900 ₪"
485,"159,999 ₪"
486,"145,000 ₪"
487,"87,900 ₪"
488,"79,000 ₪"
489,"143,000 ₪"
490,"114,900 ₪"
491,"93,900 ₪"
492,"119,000 ₪"
493,"170,000 ₪"
494,"115,900 ₪"
495,"119,900 ₪"
496,"107,000 ₪"
497,"58,000 ₪"
498,"50,900 ₪"
499,"114,999 ₪"
500,"109,900 ₪"
501,"72,900 ₪"
502,"129,900 ₪"
503,"740,000 ₪"
504,"65,900 ₪"
505,"19,900 ₪"
506,"64,900 ₪"
507,"92,000 ₪"
508,"107,900 ₪"
509,"91,900 ₪"
510,"74,900 ₪"
511,"85,000 ₪"
512,"66,900 ₪"
513,"107,000 ₪"
514,"103,000 ₪"
515,"54,000 ₪"
516,"138,000 ₪"
517,"290,903 ₪"
518,"14,500 ₪"
519,"106,000 ₪"
520,"90,000 ₪"
521,"49,900 ₪"
522,"115,000 ₪"
523,"88,000 ₪"
524,"69,000 ₪"
525,"245,000 ₪"
526,"110,900 ₪"
527,"64,900 ₪"
528,"72,000 ₪"
529,"99,000 ₪"
530,"163,000 ₪"
531,"73,700 ₪"
532,"183,000 ₪"
533,"610,000 ₪"
534,"119,900 ₪"
535,"79,000 ₪"
536,"87,500 ₪"
537,"145,500 ₪"
538,"380,000 ₪"
539,"210,000 ₪"
540,"59,000 ₪"
541,"112,900 ₪"
542,"84,000 ₪"
543,"90,900 ₪"
544,"129,900 ₪"
545,"75,000 ₪"
546,"114,999 ₪"
547,"83,000 ₪"
548,"109,000 ₪"
549,"130,000 ₪"
550,"555,000 ₪"
551,"129,900 ₪"
552,"74,900 ₪"
553,"119,500 ₪"
554,"105,000 ₪"
555,"109,900 ₪"
556,"200,000 ₪"
557,"147,000 ₪"
558,"145,500 ₪"
559,"82,900 ₪"
560,"75,000 ₪"
561,"98,900 ₪"
562,"112,900 ₪"
563,"90,000 ₪"
564,"180,000 ₪"
565,"70,000 ₪"
566,"50,000 ₪"
567,"730,000 ₪"
568,"138,900 ₪"
569,"120,000 ₪"
570,"119,900 ₪"
571,"163,000 ₪"
572,"125,000 ₪"
573,"48,900 ₪"
574,"2,094,000 ₪"
575,"34,900 ₪"
576,"54,900 ₪"
577,"97,000 ₪"
578,"93,500 ₪"
579,"113,300 ₪"
580,"42,000 ₪"
581,"94,160 ₪"
582,"337,000 ₪"
583,"474,900 ₪"
584,"133,900 ₪"
585,"40,900 ₪"
586,"105,900 ₪"
587,"166,900 ₪"
588,"35,000 ₪"
589,"62,400 ₪"
590,"74,958 ₪"
591,"109,999 ₪"
592,"325,000 ₪"
593,"105,900 ₪"
594,"237,000 ₪"
595,"102,900 ₪"
596,"111,900 ₪"
597,"49,900 ₪"
598,"172,000 ₪"
599,"65,000 ₪"
600,"39,000 ₪"
601,"72,900 ₪"
602,"137,000 ₪"
603,"124,900 ₪"
604,"30,000 ₪"
605,"105,000 ₪"
606,"95,900 ₪"
607,"127,900 ₪"
608,"93,900 ₪"
609,"178,900 ₪"
610,"94,000 ₪"
611,"249,990 ₪"
612,"126,100 ₪"
613,"247,000 ₪"
614,"109,000 ₪"
615,"49,900 ₪"
616,"314,900 ₪"
617,"32,000 ₪"
618,"89,900 ₪"
619,"105,000 ₪"
620,"159,999 ₪"
621,"59,900 ₪"
622,"12,999 ₪"
623,"74,000 ₪"
624,"42,000 ₪"
625,"93,900 ₪"
626,"28,000 ₪"
627,"110,000 ₪"
628,"132,924 ₪"
629,"121,900 ₪"
630,"62,000 ₪"
631,"49,000 ₪"
632,"199,999 ₪"
633,"91,999 ₪"
634,"142,900 ₪"
635,"115,000 ₪"
636,"39,900 ₪"
637,"116,400 ₪"
638,"71,900 ₪"
639,"46,000 ₪"
640,"38,000 ₪"
641,"98,000 ₪"
642,"289,999 ₪"
643,"135,000 ₪"
644,"220,000 ₪"
645,"89,000 ₪"
646,"108,000 ₪"
647,"61,900 ₪"
648,"53,900 ₪"
649,"127,000 ₪"
650,"114,900 ₪"
651,"192,900 ₪"
652,"38,000 ₪"
653,"39,999 ₪"
654,"100,900 ₪"
655,"99,000 ₪"
656,"100,000 ₪"
657,"124,500 ₪"
658,"102,900 ₪"
659,"145,000 ₪"
660,"133,000 ₪"
661,"99,900 ₪"
662,"88,900 ₪"
663,"80,000 ₪"
664,"90,000 ₪"
665,"87,000 ₪"
666,"76,900 ₪"
667,"128,900 ₪"
668,"44,900 ₪"
669,"85,000 ₪"
670,"150,000 ₪"
671,"83,500 ₪"
672,"112,900 ₪"
673,"45,000 ₪"
674,"135,900 ₪"
675,"120,000 ₪"
676,"68,000 ₪"
677,"55,000 ₪"
678,"42,900 ₪"
679,"169,000 ₪"
680,"134,900 ₪"
681,"137,900 ₪"
682,"135,000 ₪"
683,"119,990 ₪"
684,"103,900 ₪"
685,"60,998 ₪"
686,"91,900 ₪"
687,"410,000 ₪"
688,"115,900 ₪"
689,"69,000 ₪"
690,"94,900 ₪"
691,"77,900 ₪"
692,"110,000 ₪"
693,"115,000 ₪"
694,"34,900 ₪"
695,"179,900 ₪"
696,"29,900 ₪"
697,"139,990 ₪"
698,"133,000 ₪"
699,"115,000 ₪"
700,"89,000 ₪"
701,"166,200 ₪"
702,"74,000 ₪"
703,"500,000 ₪"
704,"102,000 ₪"
705,"35,000 ₪"
706,"73,000 ₪"
707,"109,000 ₪"
708,"108,900 ₪"
709,"59,900 ₪"
710,"60,000 ₪"
711,"85,000 ₪"
712,"440,000 ₪"
713,"194,000 ₪"
714,"190,000 ₪"
715,"66,000 ₪"
716,"146,999 ₪"
717,"139,000 ₪"
718,"139,900 ₪"
719,"370,000 ₪"
720,"124,000 ₪"
721,"233,000 ₪"
722,"115,000 ₪"
723,"136,900 ₪"
724,"169,000 ₪"
725,"96,000 ₪"
726,"105,000 ₪"
727,"86,000 ₪"
728,"22,500 ₪"
729,"131,900 ₪"
730,"85,500 ₪"
731,"162,900 ₪"
732,"78,900 ₪"
733,"108,900 ₪"
734,"415,000 ₪"
735,"385,000 ₪"
736,"99,000 ₪"
737,"39,999 ₪"
738,"84,000 ₪"
739,"150,900 ₪"
740,"119,900 ₪"
741,"89,000 ₪"
742,"169,000 ₪"
743,"217,000 ₪"
744,"164,900 ₪"
745,"71,000 ₪"
746,"400,000 ₪"
747,"99,900 ₪"
748,"80,000 ₪"
749,"42,000 ₪"
750,"68,500 ₪"
751,"46,990 ₪"
752,"129,000 ₪"
753,"35,000 ₪"
754,"101,900 ₪"
755,"82,900 ₪"
756,"238,000 ₪"
757,"141,900 ₪"
758,"68,000 ₪"
759,"112,900 ₪"
760,"61,000 ₪"
761,"156,990 ₪"
762,"118,000 ₪"
763,"73,000 ₪"
764,"68,000 ₪"
765,"209,000 ₪"
766,"34,900 ₪"
767,"105,000 ₪"
768,"160,000 ₪"
769,"120,000 ₪"
770,"383,150 ₪"
771,"68,900 ₪"
772,"106,000 ₪"
773,"73,000 ₪"
774,"125,000 ₪"
775,"112,900 ₪"
776,"79,990 ₪"
777,"32,900 ₪"
778,"71,000 ₪"
779,"92,900 ₪"
780,"182,900 ₪"
781,"375,000 ₪"
782,"235,000 ₪"
783,"109,900 ₪"
784,"79,900 ₪"
785,"95,900 ₪"
786,"62,900 ₪"
787,"70,900 ₪"
788,"58,000 ₪"
789,"103,000 ₪"
790,"249,990 ₪"
791,"82,900 ₪"
792,"142,900 ₪"
793,"94,999 ₪"
794,"79,900 ₪"
795,"29,900 ₪"
796,"32,900 ₪"
797,"93,000 ₪"
798,"79,000 ₪"
799,"69,900 ₪"
800,"33,900 ₪"
801,"20,500 ₪"
802,"82,000 ₪"
803,"116,900 ₪"
804,"102,900 ₪"
805,"65,000 ₪"
806,"79,900 ₪"
807,"114,000 ₪"
808,"141,000 ₪"
809,"110,000 ₪"
810,"59,000 ₪"
811,"139,000 ₪"
812,"159,990 ₪"
813,"320,000 ₪"
814,"68,000 ₪"
815,"120,900 ₪"
816,"47,000 ₪"
817,"155,900 ₪"
818,"162,000 ₪"
819,"104,000 ₪"
820,"118,000 ₪"
821,"153,500 ₪"
822,"55,000 ₪"
823,"112,000 ₪"
824,"93,000 ₪"
825,"74,900 ₪"
826,"125,000 ₪"
827,"125,900 ₪"
828,"75,000 ₪"
829,"109,000 ₪"
830,"128,900 ₪"
831,"116,000 ₪"
832,"270,000 ₪"
833,"169,750 ₪"
834,"128,900 ₪"
835,"115,000 ₪"
836,"59,000 ₪"
837,"372,200 ₪"
838,"75,000 ₪"
839,"116,999 ₪"
840,"87,900 ₪"
841,"102,900 ₪"
842,"605,000 ₪"
843,"83,900 ₪"
844,"134,900 ₪"
845,"59,000 ₪"
846,"145,000 ₪"
847,"84,000 ₪"
848,"520,000 ₪"
849,"420,000 ₪"
850,"225,000 ₪"
851,"410,000 ₪"
852,"74,880 ₪"
853,"142,900 ₪"
854,"83,000 ₪"
855,"60,000 ₪"
856,"38,000 ₪"
857,"45,000 ₪"
858,"108,000 ₪"
859,"74,000 ₪"
860,"119,000 ₪"
861,"155,000 ₪"
862,"189,900 ₪"
863,"314,999 ₪"
864,"97,000 ₪"
865,"18,000 ₪"
866,"188,995 ₪"
867,"95,900 ₪"
868,"71,900 ₪"
869,"93,000 ₪"
870,"184,900 ₪"
871,"112,000 ₪"
872,"50,000 ₪"
873,"189,000 ₪"
874,"79,900 ₪"
875,"68,900 ₪"
876,"79,000 ₪"
877,"188,000 ₪"
878,"93,000 ₪"
879,"49,000 ₪"
880,"160,000 ₪"
881,"124,900 ₪"
882,"104,900 ₪"
883,"119,900 ₪"
884,"105,900 ₪"
885,"108,900 ₪"
886,"65,000 ₪"
887,"116,500 ₪"
888,"72,000 ₪"
889,"38,000 ₪"
890,"105,000 ₪"
891,"88,000 ₪"
892,"49,900 ₪"
893,"18,000 ₪"
894,"111,900 ₪"
895,"149,000 ₪"
896,"394,338 ₪"
897,"66,000 ₪"
898,"69,000 ₪"
899,"96,000 ₪"
900,"29,000 ₪"
901,"105,000 ₪"
902,"49,900 ₪"
903,"65,900 ₪"
904,"153,000 ₪"
905,"392,900 ₪"
906,"128,500 ₪"
907,"219,900 ₪"
908,"40,900 ₪"
909,"95,900 ₪"
910,"109,900 ₪"
911,"208,000 ₪"
912,"64,999 ₪"
913,"217,000 ₪"
914,"98,900 ₪"
915,"170,000 ₪"
916,"167,000 ₪"
917,"46,500 ₪"
918,"72,900 ₪"
919,"68,900 ₪"
920,"113,900 ₪"
921,"94,900 ₪"
922,"58,000 ₪"
923,"82,000 ₪"
924,"91,000 ₪"
925,"115,000 ₪"
926,"68,000 ₪"
927,"99,000 ₪"
928,"415,000 ₪"
929,"37,000 ₪"
930,"79,900 ₪"
931,"163,000 ₪"
932,"25,000 ₪"
933,"147,000 ₪"
934,"68,000 ₪"
935,"57,900 ₪"
936,"101,000 ₪"
937,"91,000 ₪"
938,"112,900 ₪"
939,"109,990 ₪"
940,"74,900 ₪"
941,"74,900 ₪"
942,"50,000 ₪"
943,"35,900 ₪"
944,"75,900 ₪"
945,"113,900 ₪"
946,"19,500 ₪"
947,"680,000 ₪"
948,"111,300 ₪"
949,"72,000 ₪"
950,"152,000 ₪"
951,"67,900 ₪"
952,"81,000 ₪"
953,"119,000 ₪"
954,"115,000 ₪"
955,"149,000 ₪"
956,"69,000 ₪"
957,"86,000 ₪"
958,"70,000 ₪"
959,"115,000 ₪"
960,"72,900 ₪"
961,"83,000 ₪"
962,"26,000 ₪"
963,"970,000 ₪"
964,"59,900 ₪"
965,"72,900 ₪"
966,"119,000 ₪"
967,"79,900 ₪"
968,"104,998 ₪"
969,"75,900 ₪"
970,"129,900 ₪"
971,"134,900 ₪"
972,"42,900 ₪"
973,"157,140 ₪"
974,"136,900 ₪"
975,"73,000 ₪"
976,"148,900 ₪"
977,"189,000 ₪"
978,"39,000 ₪"
979,"47,500 ₪"
980,"73,999 ₪"
981,"157,140 ₪"
982,"67,000 ₪"
983,"122,000 ₪"
984,"180,000 ₪"
985,"79,000 ₪"
986,"99,000 ₪"
987,"78,900 ₪"
988,"320,000 ₪"
989,"103,900 ₪"
990,"49,900 ₪"
991,"126,900 ₪"
992,"125,000 ₪"
993,"109,900 ₪"
994,"115,000 ₪"
995,"35,800 ₪"
996,"146,900 ₪"
997,"67,500 ₪"
998,"125,900 ₪"
999,"99,900 ₪"
1000,"33,000 ₪"
1001,"95,000 ₪"
1002,"96,500 ₪"
1003,"123,000 ₪"
1004,"35,900 ₪"
1005,"107,000 ₪"
1006,"130,000 ₪"
1007,"107,900 ₪"
1008,"36,000 ₪"
1009,"45,000 ₪"
1010,"129,000 ₪"
1011,"99,000 ₪"
1012,"39,000 ₪"
1013,"349,000 ₪"
1014,"48,000 ₪"
1015,"101,900 ₪"
1016,"93,900 ₪"
1017,"46,500 ₪"
1018,"57,000 ₪"
1019,"55,000 ₪"
1020,"74,000 ₪"
1021,"188,000 ₪"
1022,"119,000 ₪"
1023,"78,000 ₪"
1024,"117,500 ₪"
1025,"185,000 ₪"
1026,"134,999 ₪"
1027,"154,900 ₪"
1028,"73,770 ₪"
1029,"85,000 ₪"
1030,"32,000 ₪"
1031,"349,103 ₪"
1032,"99,900 ₪"
1033,"119,900 ₪"
1034,"19,900 ₪"
1035,"24,900 ₪"
1036,"115,900 ₪"
1037,"125,900 ₪"
1038,"105,900 ₪"
1039,"117,000 ₪"
1040,"105,900 ₪"
1041,"108,900 ₪"
1042,"49,000 ₪"
1043,"132,000 ₪"
1044,"149,999 ₪"
1045,"101,202 ₪"
1046,"74,900 ₪"
1047,"97,000 ₪"
1048,"77,900 ₪"
1049,"97,900 ₪"
1050,"84,000 ₪"
1051,"113,900 ₪"
1052,"86,000 ₪"
1053,"268,000 ₪"
1054,"89,900 ₪"
1055,"84,999 ₪"
1056,"51,000 ₪"
1057,"81,000 ₪"
1058,"205,000 ₪"
1059,"32,999 ₪"
1060,"85,000 ₪"
1061,"24,000 ₪"
1062,"105,000 ₪"
1063,"350,000 ₪"
1064,"95,000 ₪"
1065,"90,000 ₪"
1066,"88,500 ₪"
1067,"52,900 ₪"
1068,"82,000 ₪"
1069,"78,000 ₪"
1070,"106,900 ₪"
1071,"129,000 ₪"
1072,"238,000 ₪"
1073,"205,000 ₪"
1074,"194,500 ₪"
1075,"95,000 ₪"
1076,"110,000 ₪"
1077,"245,000 ₪"
1078,"64,900 ₪"
1079,"75,900 ₪"
1080,"185,000 ₪"
1081,"177,900 ₪"
1082,"102,900 ₪"
1083,"610,000 ₪"
1084,"70,900 ₪"
1085,"105,000 ₪"
1086,"114,900 ₪"
1087,"36,000 ₪"
1088,"75,900 ₪"
1089,"79,900 ₪"
1090,"75,000 ₪"
1091,"75,400 ₪"
1092,"68,870 ₪"
1093,"35,900 ₪"
1094,"165,900 ₪"
1095,"145,000 ₪"
1096,"230,000 ₪"
1097,"29,900 ₪"
1098,"78,000 ₪"
1099,"63,000 ₪"
1100,"49,000 ₪"
1101,"37,000 ₪"
1102,"64,900 ₪"
1103,"138,000 ₪"
1104,"68,000 ₪"
1105,"111,000 ₪"
1106,"119,999 ₪"
1107,"134,000 ₪"
1108,"39,000 ₪"
1109,"109,900 ₪"
1110,"14,999 ₪"
1111,"129,900 ₪"
1112,"136,900 ₪"
1113,"630,000 ₪"
1114,"745,500 ₪"
1115,"98,900 ₪"
1116,"119,900 ₪"
1117,"58,900 ₪"
1118,"173,000 ₪"
1119,"59,000 ₪"
1120,"137,500 ₪"
1121,"110,000 ₪"
1122,"85,000 ₪"
1123,"89,000 ₪"
1124,"84,000 ₪"
1125,"260,000 ₪"
1126,"72,000 ₪"
1127,"87,000 ₪"
1128,"24,900 ₪"
1129,"49,000 ₪"
1130,"34,000 ₪"
1131,"99,000 ₪"
1132,"157,140 ₪"
1133,"35,988 ₪"
1134,"84,900 ₪"
1135,"62,000 ₪"
1136,"82,000 ₪"
1137,"77,900 ₪"
1138,"64,900 ₪"
1139,"130,500 ₪"
1140,"50,000 ₪"
1141,"130,000 ₪"
1142,"125,000 ₪"
1143,"271,503 ₪"
1144,"19,999 ₪"
1145,"119,900 ₪"
1146,"30,000 ₪"
1147,"104,900 ₪"
1148,"32,000 ₪"
1149,"108,900 ₪"
1150,"125,000 ₪"
1151,"134,999 ₪"
1152,"345,000 ₪"
