,city
133,כפר סבא
134,ירכא
135,חיפה
136,עפולה
137,בת ים
138,קרית שמונה
139,ירושלים
140,חיפה
141,קרית שמונה
142,עפולה
143,חיפה
144,ראשון לציון
145,חיפה
146,עפולה
147,נתניה
148,עפולה
149,תל אביב יפו
150,רמת השרון
151,נס ציונה
152,ראשון לציון
153,חיפה
154,סינון עם האלגוריתם
155,תל אביב יפו
156,תל אביב יפו
157,חיפה
158,ראשון לציון
159,שדרות
160,עפולה
161,ראשון לציון
162,מאיפה שנוח לך בארץ
163,בת ים
164,פתח תקווה
165,פתח תקווה
166,פרדס חנה כרכור
167,פתח תקווה
168,חיפה
169,ראשון לציון
170,לוד
171,פתח תקווה
172,תל אביב-יפו
173,נתניה
174,פתח תקווה
175,עפולה
176,ירכא
177,תל אביב יפו
178,עפולה
179,חיפה
180,פתח תקווה
181,עפולה
182,ראשון לציון
183,נתניה
184,נתניה
185,חדרה
186,רחובות
187,רמת גן
188,נתיבות
189,רמת השרון
190,נתניה
191,נתניה
192,ראשון לציון
193,ראשון לציון
194,עפולה
195,פתח תקווה
196,אזור
197,רמלה
198,חדרה
199,פתח תקווה
200,בת ים
201,עפולה
202,נוף הגליל
203,נתניה
204,נתניה
205,ראשון לציון
206,חיפה
207,בת ים
208,נתניה
209,ראשון לציון
210,רמלה
211,באר שבע
212,ירושלים
213,פרדס חנה כרכור
214,רעננה
215,נוף הגליל
216,קרית אתא
217,ראשון לציון
218,ראשון לציון
219,פתח תקווה
220,רמלה
221,נתניה
222,חיפה
223,פתח תקווה
224,חיפה
225,נתניה
226,נתניה
227,חיפה
228,פתח תקווה
229,ראשון לציון
230,כפר חסידים א'
231,עפולה
232,ירכא
233,פתח תקווה
234,עפולה
235,הרצליה
236,רעננה
237,נתניה
238,עפולה
239,נתניה
240,פרדס חנה כרכור
241,פתח תקווה
242,פתח תקווה
243,עפולה
244,ראשון לציון
245,חיפה
246,בת ים
247,ראשון לציון
248,ראשון לציון
249,רמת השרון
250,ראשון לציון
251,ראשון לציון
252,קרית שמונה
253,ראשון לציון
254,ראשון לציון
255,נתניה
256,חיפה
257,ראשון לציון
258,ראשון לציון
259,נתניה
260,חולון
261,אזור
262,עפולה
263,נתניה
264,ראשון לציון
265,חולון
266,נתניה
267,נתניה
268,נתניה
269,נתניה
270,נתניה
271,חיפה
272,נתניה
273,אשדוד
274,ירושלים
275,פרדס חנה כרכור
276,נתניה
277,חיפה
278,נתניה
279,חיפה
280,נתניה
281,חולון
282,חיפה
283,חיפה
284,נתניה
285,קרית אתא
286,תל אביב יפו
287,נתניה
288,נתניה
289,נתניה
290,ראשון לציון
291,חיפה
292,כפר סבא
293,ירכא
294,כרמיאל
295,ראשון לציון
296,חיפה
297,פתח תקווה
298,ירושלים
299,ראשון לציון
300,פתח תקווה
301,ראשון לציון
302,פתח תקווה
303,כפר סבא
304,רמת השרון
305,קרית שמונה
306,חיפה
307,ראשון לציון
308,פתח תקווה
309,הרצליה
310,ירכא
311,רמת השרון
312,חיפה
313,עפולה
314,חיפה
315,חדרה
316,חיפה
317,חיפה
318,נתניה
319,פתח תקווה
320,פתח תקווה
321,כרמיאל
322,ירכא
323,נתניה
324,עפולה
325,אום אל-פחם
326,נתניה
327,פתח תקווה
328,חיפה
329,ראשון לציון
330,ראשון לציון
331,חולון
332,עפולה
333,קרית שמונה
334,אבן יהודה
335,נתניה
336,רמת השרון
337,פתח תקווה
338,חיפה
339,אשדוד
340,חיפה
341,עפולה
342,נתניה
343,רמת השרון
344,קרית שמונה
345,ירכא
346,ראשון לציון
347,לוד
348,חיפה
349,שפרעם
350,ראשון לציון
351,באר שבע
352,נתניה
353,ראשון לציון
354,רעננה
355,קרית שמונה
356,חיפה
357,חדרה
358,שדרות
359,ראשון לציון
360,רמלה
361,ראשון לציון
362,רמת השרון
363,נתניה
364,ראשון לציון
365,נתניה
366,חיפה
367,חיפה
368,חיפה
369,קרית שמונה
370,ראשון לציון
371,ראשון לציון
372,פתח תקווה
373,סינון עם האלגוריתם
374,חיפה
375,קרית שמונה
376,עפולה
377,מאיפה שנוח לך בארץ
378,נתניה
379,חיפה
380,עיספיא
381,אשדוד
382,הרצליה
383,פרדס חנה כרכור
384,תל אביב יפו
385,קרית שמונה
386,איכסאל
387,ראשון לציון
388,נתיבות
389,נתניה
390,עפולה
391,נתניה
392,עפולה
393,עפולה
394,נתניה
395,פתח תקווה
396,נתניה
397,ראשון לציון
398,עפולה
399,רעננה
400,רעננה
401,עראבה
402,רמת השרון
403,גדרה
404,קרית שמונה
405,עפולה
406,קרית שמונה
407,מע'אר
408,עפולה
409,בת ים
410,פרדס חנה כרכור
411,ראשון לציון
412,רמת השרון
413,ראשון לציון
414,רמת השרון
415,חדרה
416,חיפה
417,עפולה
418,ראשון לציון
419,עפולה
420,רמת השרון
421,חיפה
422,חדרה
423,חיפה
424,אשדוד
425,נס ציונה
426,חיפה
427,תל אביב יפו
428,בת ים
429,ראשון לציון
430,פתח תקווה
431,נתניה
432,פתח תקווה
433,ראשון לציון
434,עפולה
435,חיפה
436,רעננה
437,חדרה
438,נוף הגליל
439,נוף הגליל
440,חולון
441,קרית אתא
442,ראשון לציון
443,עיספיא
444,ראשון לציון
445,רמלה
446,בת ים
447,נתניה
448,ראשון לציון
449,עיספיא
450,ראשון לציון
451,נתניה
452,כפר סבא
453,חדרה
454,רמת השרון
455,חדרה
456,אבן יהודה
457,נתניה
458,חולון
459,חיפה
460,חיפה
461,רמת השרון
462,בת ים
463,סינון עם האלגוריתם
464,רמת השרון
465,ראשון לציון
466,בת ים
467,נתניה
468,ראשון לציון
469,איכסאל
470,פתח תקווה
471,נתניה
472,רמת השרון
473,רמת השרון
474,רעננה
475,תל אביב יפו
476,חיפה
477,אשדוד
478,נתניה
479,עפולה
480,חיפה
481,קרית שמונה
482,ירכא
483,עפולה
484,חיפה
485,חיפה
486,חיפה
487,רמת השרון
488,ראשון לציון
489,נתניה
490,ראשון לציון
491,ראשון לציון
492,נתניה
493,חיפה
494,ראשון לציון
495,ראשון לציון
496,ריינה
497,לוד
498,ראשון לציון
499,חיפה
500,תל אביב יפו
501,ראשון לציון
502,רמת השרון
503,נוף הגליל
504,פתח תקווה
505,ראשון לציון
506,כרמיאל
507,קרית שמונה
508,חדרה
509,פתח תקווה
510,ראשון לציון
511,נתניה
512,ראשון לציון
513,קרית שמונה
514,איכסאל
515,מאיפה שנוח לך בארץ
516,חיפה
517,נתניה
518,נתניה
519,פתח תקווה
520,טמרה
521,פתח תקווה
522,מאיפה שנוח לך בארץ
523,נתניה
524,כפר סבא
525,חיפה
526,חיפה
527,ראשון לציון
528,לוד
529,חיפה
530,נתניה
531,מאיפה שנוח לך בארץ
532,איכסאל
533,עפולה
534,רמת השרון
535,רחובות
536,נתניה
537,נתניה
538,חולון
539,הרצליה
540,עיספיא
541,ראשון לציון
542,נוף הגליל
543,פתח תקווה
544,נתניה
545,שדרות
546,חיפה
547,חיפה
548,חיפה
549,נתניה
550,נתניה
551,רמת השרון
552,ראשון לציון
553,תל אביב יפו
554,בת ים
555,רמת השרון
556,קרית שמונה
557,נתניה
558,נתניה
559,ראשון לציון
560,ירכא
561,חיפה
562,ראשון לציון
563,נתניה
564,מאיפה שנוח לך בארץ
565,כרמיאל
566,חיפה
567,נוף הגליל
568,ראשון לציון
569,ירכא
570,אשדוד
571,ראשון לציון
572,רעננה
573,ראשון לציון
574,הרצליה
575,ראשון לציון
576,עפולה
577,בת ים
578,עפולה
579,מאיפה שנוח לך בארץ
580,חיפה
581,רעננה
582,מע'אר
583,נתניה
584,חיפה
585,חיפה
586,חדרה
587,נתניה
588,נתניה
589,חדרה
590,קרית שמונה
591,חיפה
592,שפרעם
593,חיפה
594,נתניה
595,חיפה
596,אשדוד
597,אשדוד
598,חולון
599,לוד
600,קרית שמונה
601,חיפה
602,נתניה
603,פתח תקווה
604,נתניה
605,שדרות
606,חיפה
607,פתח תקווה
608,אשדוד
609,ראשון לציון
610,בת ים
611,קרית שמונה
612,נתניה
613,ירכא
614,עפולה
615,ראשון לציון
616,פתח תקווה
617,חיפה
618,חיפה
619,נצרת
620,חיפה
621,עפולה
622,פרדס חנה כרכור
623,נתניה
624,שדרות
625,חדרה
626,חולון
627,לוד
628,רעננה
629,ראשון לציון
630,נתניה
631,חיפה
632,חיפה
633,עפולה
634,רמת השרון
635,עפולה
636,באר טוביה
637,נתניה
638,חדרה
639,חיפה
640,חיפה
641,עפולה
642,קרית שמונה
643,בת ים
644,קרית שמונה
645,ראשון לציון
646,קרית שמונה
647,חדרה
648,רמת גן
649,בת ים
650,ראשון לציון
651,פתח תקווה
652,ראשון לציון
653,סח'נין
654,רמת השרון
655,כרמיאל
656,ירכא
657,רעננה
658,חיפה
659,קרית שמונה
660,קרית שמונה
661,רמת השרון
662,פתח תקווה
663,נתניה
664,ירכא
665,עפולה
666,ראשון לציון
667,אשדוד
668,גדרה
669,נתניה
670,עפולה
671,תל אביב יפו
672,חיפה
673,פתח תקווה
674,פתח תקווה
675,ראשון לציון
676,חיפה
677,לוד
678,ראשון לציון
679,נתניה
680,חיפה
681,חיפה
682,נתניה
683,נתניה
684,ראשון לציון
685,ראשון לציון
686,ראשון לציון
687,נתניה
688,ראשון לציון
689,בת ים
690,נתניה
691,רמת השרון
692,כרמיאל
693,נתניה
694,נתיבות
695,נתניה
696,ירושלים
697,נתניה
698,נתניה
699,טמרה
700,נתניה
701,עפולה
702,עפולה
703,באר שבע
704,נתניה
705,נתניה
706,נתניה
707,רעננה
708,ראשון לציון
709,ראשון לציון
710,ראשון לציון
711,עפולה
712,נתניה
713,חיפה
714,חיפה
715,טמרה
716,ראשון לציון
717,קרית שמונה
718,ראשון לציון
719,עראבה
720,נתניה
721,נתניה
722,נוף הגליל
723,רמת השרון
724,ראשון לציון
725,עפולה
726,ירושלים
727,חולון
728,חיפה
729,פתח תקווה
730,מאיפה שנוח לך בארץ
731,פתח תקווה
732,חיפה
733,נתניה
734,ראשון לציון
735,נתניה
736,נתניה
737,עפולה
738,בת ים
739,ראשון לציון
740,רמת השרון
741,נתניה
742,בת ים
743,נתניה
744,ראשון לציון
745,ראשון לציון
746,ירכא
747,פתח תקווה
748,חדרה
749,ראשון לציון
750,קרית אתא
751,חיפה
752,בת ים
753,פתח תקווה
754,רמת השרון
755,רמת השרון
756,נתניה
757,רמת השרון
758,באר שבע
759,חיפה
760,בת ים
761,נתניה
762,אבן יהודה
763,חיפה
764,חיפה
765,פתח תקווה
766,נתיבות
767,לוד
768,נתניה
769,נתניה
770,נתניה
771,ראשון לציון
772,ירכא
773,פתח תקווה
774,עיספיא
775,פתח תקווה
776,חיפה
777,רמת גן
778,תל אביב יפו
779,ראשון לציון
780,פתח תקווה
781,נתניה
782,אבן יהודה
783,עפולה
784,תל אביב יפו
785,פתח תקווה
786,רמת השרון
787,פתח תקווה
788,חיפה
789,כפר סבא
790,קרית שמונה
791,פתח תקווה
792,ראשון לציון
793,חיפה
794,רמת גן
795,חיפה
796,עפולה
797,עפולה
798,נתניה
799,ראשון לציון
800,ראשון לציון
801,קרית אתא
802,חדרה
803,ירכא
804,חיפה
805,עפולה
806,ראשון לציון
807,חדרה
808,ראשון לציון
809,ראשון לציון
810,חיפה
811,בת ים
812,נתניה
813,באר שבע
814,לוד
815,רמת השרון
816,פתח תקווה
817,חדרה
818,נתניה
819,בת ים
820,נתניה
821,קרית אתא
822,קרית שמונה
823,ראשון לציון
824,חדרה
825,חיפה
826,חיפה
827,פתח תקווה
828,נוף הגליל
829,פתח תקווה
830,רמת השרון
831,נתניה
832,ראשון לציון
833,נתניה
834,רעננה
835,חולון
836,בת ים
837,הרצליה
838,מאיפה שנוח לך בארץ
839,עפולה
840,ראשון לציון
841,פתח תקווה
842,ראשון לציון
843,חדרה
844,ראשון לציון
845,עפולה
846,קרית שמונה
847,סינון עם האלגוריתם
848,נתניה
849,ירכא
850,ירכא
851,עפולה
852,תל אביב יפו
853,ראשון לציון
854,נתניה
855,חדרה
856,ראשון לציון
857,לוד
858,שפרעם
859,רעננה
860,נתניה
861,נתניה
862,ראשון לציון
863,נתיבות
864,כפר כנא
865,פתח תקווה
866,קרית שמונה
867,נתניה
868,פתח תקווה
869,ירכא
870,ראשון לציון
871,נתניה
872,נתניה
873,ראשון לציון
874,ראשון לציון
875,ראשון לציון
876,נתניה
877,פתח תקווה
878,עפולה
879,חדרה
880,עפולה
881,ראשון לציון
882,חיפה
883,פתח תקווה
884,ראשון לציון
885,באר שבע
886,חיפה
887,תל אביב יפו
888,נתניה
889,חיפה
890,בת ים
891,שפרעם
892,באר טוביה
893,פתח תקווה
894,חיפה
895,נתיבות
896,ירכא
897,נס ציונה
898,חיפה
899,נס ציונה
900,חולון
901,פתח תקווה
902,באר טוביה
903,ראשון לציון
904,חיפה
905,רמת השרון
906,עפולה
907,ראשון לציון
908,ראשון לציון
909,ראשון לציון
910,כפר חסידים א'
911,קרית שמונה
912,ירושלים
913,נתניה
914,ראשון לציון
915,נתניה
916,עפולה
917,עפולה
918,ראשון לציון
919,רמת השרון
920,ראשון לציון
921,רמת גן
922,פתח תקווה
923,אבן יהודה
924,תל אביב יפו
925,ירושלים
926,חיפה
927,נתניה
928,עפולה
929,חיפה
930,עפולה
931,חיפה
932,נתניה
933,פתח תקווה
934,לוד
935,חיפה
936,נתניה
937,קרית אתא
938,ראשון לציון
939,נתניה
940,חיפה
941,ראשון לציון
942,עפולה
943,ראשון לציון
944,ראשון לציון
945,ראשון לציון
946,חולון
947,נוף הגליל
948,ראשון לציון
949,מאיפה שנוח לך בארץ
950,רעננה
951,ראשון לציון
952,רעננה
953,פתח תקווה
954,עפולה
955,אשדוד
956,באר טוביה
957,ירושלים
958,טמרה
959,ירכא
960,פתח תקווה
961,נתניה
962,חולון
963,קרית שמונה
964,ראשון לציון
965,חדרה
966,בת ים
967,ראשון לציון
968,עפולה
969,חיפה
970,נתניה
971,ראשון לציון
972,חיפה
973,נתניה
974,חדרה
975,חיפה
976,חיפה
977,שפרעם
978,נתניה
979,תל אביב יפו
980,חיפה
981,נתניה
982,ירכא
983,ירושלים
984,מאיפה שנוח לך בארץ
985,נתניה
986,נתניה
987,חיפה
988,נוף הגליל
989,פתח תקווה
990,ראשון לציון
991,פתח תקווה
992,נתניה
993,חיפה
994,טמרה
995,קרית שמונה
996,פתח תקווה
997,רעננה
998,חיפה
999,ראשון לציון
1000,נתניה
1001,נוף הגליל
1002,נתניה
1003,ראשון לציון
1004,ראשון לציון
1005,ירושלים
1006,כרמיאל
1007,חיפה
1008,עפולה
1009,כפר כנא
1010,נתניה
1011,נתניה
1012,כפר כנא
1013,ראשון לציון
1014,פתח תקווה
1015,חדרה
1016,רמת השרון
1017,חדרה
1018,נתניה
1019,נתיבות
1020,נתניה
1021,נתניה
1022,עיספיא
1023,כפר כנא
1024,ראשון לציון
1025,קרית שמונה
1026,חיפה
1027,ראשון לציון
1028,כפר סבא
1029,לוד
1030,פתח תקווה
1031,נתניה
1032,עיספיא
1033,ראשון לציון
1034,חיפה
1035,חיפה
1036,פתח תקווה
1037,מאיפה שנוח לך בארץ
1038,חדרה
1039,נתניה
1040,חיפה
1041,רמת השרון
1042,עפולה
1043,נתניה
1044,חיפה
1045,רעננה
1046,ראשון לציון
1047,כפר חסידים א'
1048,אשדוד
1049,פתח תקווה
1050,סינון עם האלגוריתם
1051,חדרה
1052,נתניה
1053,חולון
1054,ראשון לציון
1055,חיפה
1056,מאיפה שנוח לך בארץ
1057,רחובות
1058,קרית שמונה
1059,חיפה
1060,רמלה
1061,ראשון לציון
1062,טמרה
1063,ירושלים
1064,רעננה
1065,נוף הגליל
1066,בת ים
1067,רמת השרון
1068,נתניה
1069,נס ציונה
1070,נתניה
1071,קרית שמונה
1072,נתניה
1073,עפולה
1074,קרית אתא
1075,בת ים
1076,ירכא
1077,אבו סנאן
1078,פתח תקווה
1079,פתח תקווה
1080,ירושלים
1081,ראשון לציון
1082,חיפה
1083,עפולה
1084,חדרה
1085,נתניה
1086,פתח תקווה
1087,רחובות
1088,ראשון לציון
1089,ראשון לציון
1090,שדרות
1091,מאיפה שנוח לך בארץ
1092,נתניה
1093,ראשון לציון
1094,ראשון לציון
1095,עפולה
1096,נתניה
1097,חיפה
1098,חולון
1099,חיפה
1100,חדרה
1101,חולון
1102,נתיבות
1103,חיפה
1104,רמלה
1105,נתניה
1106,חיפה
1107,נתניה
1108,כפר חסידים א'
1109,פתח תקווה
1110,פרדס חנה כרכור
1111,עפולה
1112,ראשון לציון
1113,שפרעם
1114,באר שבע
1115,כרמיאל
1116,פתח תקווה
1117,תל אביב יפו
1118,חיפה
1119,נס ציונה
1120,קרית אתא
1121,נתניה
1122,נתניה
1123,חיפה
1124,נתיבות
1125,עראבה
1126,עפולה
1127,נתניה
1128,ראשון לציון
1129,ראשון לציון
1130,פתח תקווה
1131,נתניה
1132,נתניה
1133,קרית שמונה
1134,ראשון לציון
1135,קרית שמונה
1136,בת ים
1137,אשדוד
1138,רמת השרון
1139,תל אביב יפו
1140,עפולה
1141,לוד
1142,לוד
1143,נתניה
1144,פרדס חנה כרכור
1145,ראשון לציון
1146,תל אביב יפו
1147,פתח תקווה
1148,פתח תקווה
1149,רמת השרון
1150,ירכא
1151,חיפה
1152,נתניה
1153,פתח תקווה
1154,ראשון לציון
1155,פתח תקווה
1156,ירושלים
1157,חיפה
1158,ראשון לציון
1159,ירכא
1160,עפולה
1161,חיפה
1162,נתניה
1163,פתח תקווה
1164,חיפה
1165,נוף הגליל
1166,נתניה
1167,טמרה
1168,ראשון לציון
1169,פתח תקווה
1170,נתניה
1171,בת ים
1172,חדרה
1173,מאיפה שנוח לך בארץ
1174,כפר סבא
1175,נתניה
1176,רמלה
1177,חדרה
1178,חיפה
1179,עפולה
1180,קרית שמונה
1181,נתניה
1182,איכסאל
1183,חיפה
1184,נתניה
1185,חדרה
1186,כפר סבא
1187,פתח תקווה
1188,חדרה
1189,עפולה
1190,חיפה
1191,ראשון לציון
1192,נתניה
1193,נתניה
1194,פתח תקווה
1195,תל אביב יפו
1196,נתניה
1197,חיפה
1198,ראשון לציון
1199,ראשון לציון
1200,פתח תקווה
1201,ראשון לציון
1202,אשדוד
1203,חיפה
1204,באר שבע
1205,נתניה
1206,נתניה
1207,נתניה
1208,חדרה
1209,ראשון לציון
1210,חדרה
1211,פתח תקווה
1212,סינון עם האלגוריתם
1213,רמת השרון
1214,אשדוד
1215,עיספיא
1216,כרמיאל
1217,רחובות
1218,ראשון לציון
1219,אשדוד
1220,אשדוד
1221,תל אביב יפו
1222,כפר חסידים א'
1223,אשדוד
1224,מאיפה שנוח לך בארץ
1225,ראשון לציון
1226,חדרה
1227,חיפה
1228,עיספיא
1229,אבן יהודה
1230,בת ים
1231,פתח תקווה
1232,עפולה
1233,עפולה
1234,חולון
1235,ירכא
1236,חדרה
1237,ריינה
1238,רמת השרון
1239,מאיפה שנוח לך בארץ
1240,ירושלים
1241,פתח תקווה
1242,חיפה
1243,פתח תקווה
1244,אבן יהודה
1245,ירכא
1246,באר שבע
1247,ירכא
1248,עראבה
1249,נתניה
1250,חדרה
1251,עפולה
1252,חיפה
1253,נתניה
1254,חיפה
1255,קרית אתא
1256,עפולה
1257,ראשון לציון
1258,רמת השרון
1259,נתניה
1260,פתח תקווה
1261,חיפה
1262,סינון עם האלגוריתם
1263,ראשון לציון
1264,נתניה
1265,אשדוד
1266,כפר כנא
1267,ירכא
1268,ראשון לציון
1269,פתח תקווה
1270,עיספיא
1271,נתניה
1272,פתח תקווה
1273,חיפה
1274,נתניה
1275,חיפה
1276,רחובות
1277,נתניה
1278,ראשון לציון
1279,חיפה
1280,נתניה
1281,ראשון לציון
1282,קרית אתא
1283,רמת השרון
1284,נוף הגליל
1285,כרמיאל
1286,ירכא
1287,חיפה
1288,פתח תקווה
1289,נתניה
1290,הרצליה
1291,ראשון לציון
1292,כפר חסידים א'
1293,רמת גן
1294,חיפה
1295,ראשון לציון
1296,חדרה
1297,פרדס חנה כרכור
1298,חיפה
1299,פתח תקווה
1300,חדרה
1301,ראשון לציון
1302,עפולה
1303,רמת השרון
1304,מאיפה שנוח לך בארץ
1305,הרצליה
1306,ראשון לציון
1307,פתח תקווה
1308,רמת השרון
1309,ירכא
1310,נתניה
1311,ירכא
1312,ראשון לציון
1313,נתניה
1314,ירושלים
1315,ירכא
1316,עפולה
1317,עיספיא
1318,חיפה
1319,חיפה
1320,פתח תקווה
1321,חיפה
1322,חיפה
1323,פתח תקווה
1324,אבן יהודה
1325,ראשון לציון
1326,נתניה
1327,אבן יהודה
1328,נתיבות
1329,פתח תקווה
1330,אבן יהודה
1331,חיפה
1332,חיפה
1333,מאיפה שנוח לך בארץ
1334,קרית שמונה
1335,נתניה
1336,עראבה
1337,פרדס חנה כרכור
1338,ראשון לציון
1339,פתח תקווה
1340,נתניה
1341,נתניה
1342,רמת גן
1343,אום אל-פחם
1344,חיפה
1345,אשדוד
1346,ראשון לציון
1347,חדרה
1348,אשדוד
1349,חולון
1350,ראשון לציון
1351,ירכא
1352,רמת השרון
1353,מאיפה שנוח לך בארץ
1354,נתניה
1355,בת ים
1356,ראשון לציון
1357,רמלה
1358,ראשון לציון
1359,נתניה
1360,ראשון לציון
1361,אשדוד
1362,ירכא
1363,חיפה
1364,חיפה
1365,פתח תקווה
1366,פתח תקווה
1367,בת ים
1368,פתח תקווה
1369,ירכא
1370,חיפה
1371,חיפה
1372,פתח תקווה
1373,מאיפה שנוח לך בארץ
1374,שפרעם
1375,רמת השרון
1376,עפולה
1377,קרית שמונה
1378,ראשון לציון
1379,חדרה
1380,נתניה
1381,פתח תקווה
1382,נתניה
1383,נתניה
1384,רמת השרון
1385,נתניה
1386,ראשון לציון
1387,נתניה
1388,מאיפה שנוח לך בארץ
1389,חיפה
1390,ראשון לציון
1391,ראשון לציון
1392,פתח תקווה
1393,קרית שמונה
1394,ראשון לציון
1395,ירושלים
1396,ראשון לציון
1397,מאיפה שנוח לך בארץ
1398,פתח תקווה
1399,עפולה
1400,פתח תקווה
1401,רמת השרון
1402,חיפה
1403,רעננה
1404,קרית שמונה
1405,פתח תקווה
1406,חיפה
1407,רמת השרון
1408,רעננה
1409,עפולה
1410,כפר כנא
1411,נתניה
1412,טמרה
1413,רעננה
1414,נתניה
1415,עפולה
1416,נתניה
1417,עפולה
1418,אשדוד
1419,רעננה
1420,ראשון לציון
1421,חיפה
1422,נתניה
1423,חיפה
1424,כפר סבא
1425,נתניה
1426,חיפה
1427,חיפה
1428,חדרה
1429,רמת השרון
1430,רמת גן
1431,ירושלים
1432,ירכא
1433,רמת השרון
1434,אשדוד
1435,פתח תקווה
1436,חיפה
1437,רמלה
1438,שפרעם
1439,פתח תקווה
1440,לוד
1441,נתניה
1442,איכסאל
1443,רמת השרון
1444,ראשון לציון
1445,ירכא
1446,נתניה
1447,עפולה
1448,רמת גן
1449,חולון
1450,קרית אתא
1451,עפולה
1452,קרית שמונה
1453,עראבה
1454,באר טוביה
1455,חיפה
1456,רמת השרון
1457,ראשון לציון
1458,רמלה
1459,עראבה
1460,ריינה
1461,איכסאל
1462,כרמיאל
1463,פתח תקווה
1464,חדרה
1465,ראשון לציון
1466,נתיבות
1467,בת ים
1468,באר טוביה
1469,פתח תקווה
1470,ריינה
1471,כרמיאל
1472,חולון
1473,פתח תקווה
1474,ראשון לציון
1475,חדרה
1476,חולון
1477,ירכא
1478,נתניה
1479,פתח תקווה
1480,פתח תקווה
1481,עפולה
1482,נתניה
1483,חולון
1484,פתח תקווה
1485,נתניה
1486,נתניה
1487,רמת השרון
1488,פתח תקווה
1489,לוד
1490,רמת השרון
1491,עפולה
1492,איכסאל
1493,חולון
1494,נתניה
1495,עיספיא
1496,ראשון לציון
1497,אבן יהודה
1498,ראשון לציון
1499,ראשון לציון
1500,עפולה
1501,ראשון לציון
1502,עראבה
1503,חיפה
1504,לוד
1505,נתניה
1506,קרית שמונה
1507,ראשון לציון
1508,חיפה
1509,ראשון לציון
1510,רעננה
1511,כפר סבא
1512,ראשון לציון
1513,חיפה
1514,באר טוביה
1515,פתח תקווה
1516,נתניה
1517,נתניה
1518,רמת השרון
1519,נתניה
1520,חיפה
1521,פתח תקווה
1522,איכסאל
1523,חיפה
1524,ראשון לציון
1525,פרדס חנה כרכור
1526,חדרה
1527,חיפה
1528,נתניה
1529,עפולה
1530,חדרה
1531,נתניה
1532,ראשון לציון
1533,נתניה
1534,נתניה
1535,מאיפה שנוח לך בארץ
1536,חיפה
1537,חדרה
1538,חיפה
1539,ראשון לציון
1540,טמרה
1541,ירכא
1542,רמת השרון
1543,חדרה
1544,פרדס חנה כרכור
1545,נתניה
1546,נתיבות
1547,ראשון לציון
1548,נתניה
1549,ראשון לציון
1550,פתח תקווה
1551,ריינה
1552,ראשון לציון
1553,נתניה
1554,טבריה
1555,פתח תקווה
1556,חיפה
1557,נתניה
1558,רמת השרון
1559,חיפה
1560,רחובות
1561,נתניה
1562,רמת השרון
1563,פתח תקווה
1564,חיפה
1565,פתח תקווה
1566,ראשון לציון
1567,סינון עם האלגוריתם
1568,עפולה
1569,חיפה
1570,ירושלים
1571,חיפה
1572,ראשון לציון
1573,ירושלים
1574,חיפה
1575,אשדוד
1576,פתח תקווה
1577,ראשון לציון
1578,עפולה
1579,נס ציונה
1580,נתניה
1581,חיפה
1582,נתניה
1583,אשדוד
1584,בת ים
1585,רמת השרון
1586,תל אביב יפו
1587,חדרה
1588,חדרה
1589,חיפה
1590,פתח תקווה
